x_m y_m sigma_comp_mag_Pa
3.9653901015e-04 5.9320669267e-06 9.9693632298e+00
3.9425261827e-04 1.1276184708e-05 9.7246232897e+00
3.9218071724e-04 1.6381492790e-05 1.0141478597e+01
3.9014720412e-04 2.1313086144e-05 1.0465710005e+01
3.8809475146e-04 2.6106338556e-05 1.0698152085e+01
3.8599504297e-04 3.0779887465e-05 1.0881543704e+01
3.8383284109e-04 3.5346002438e-05 1.1044289081e+01
3.8160066767e-04 3.9810076099e-05 1.1182420102e+01
3.7929355875e-04 4.4177903568e-05 1.1294785055e+01
3.7690951233e-04 4.8452555868e-05 1.1392810124e+01
3.7444778069e-04 5.2636567221e-05 1.1476304558e+01
3.7190866875e-04 5.6731801703e-05 1.1547791574e+01
3.6929302683e-04 6.0739755375e-05 1.1608486608e+01
3.6660201254e-04 6.4661755964e-05 1.1660472631e+01
3.6383705191e-04 6.8498984632e-05 1.1705733271e+01
3.6099980506e-04 7.2252574172e-05 1.1745584828e+01
3.5809204681e-04 7.5923475256e-05 1.1781648121e+01
3.5511557324e-04 7.9512628367e-05 1.1814359206e+01
3.5207228277e-04 8.3020999763e-05 1.1844740319e+01
3.4896409021e-04 8.6449494599e-05 1.1873954431e+01
3.4579289808e-04 8.9798962251e-05 1.1901960473e+01
3.4256056264e-04 9.3070301672e-05 1.1929300905e+01
3.3926908425e-04 9.6264271345e-05 1.1957401600e+01
3.3592027107e-04 9.9381780916e-05 1.1984859614e+01
3.3251593910e-04 1.0242362065e-04 1.2012825886e+01
3.2905794660e-04 1.0539054017e-04 1.2041622014e+01
3.2554803926e-04 1.0828334793e-04 1.2071077056e+01
3.2198793988e-04 1.1110279793e-04 1.2101632932e+01
3.1837932497e-04 1.1384965430e-04 1.2132445173e+01
3.1472383733e-04 1.1652463126e-04 1.2164482800e+01
3.1102304630e-04 1.1912844712e-04 1.2197722236e+01
3.0727850583e-04 1.2166180970e-04 1.2231657662e+01
3.0349168223e-04 1.2412538418e-04 1.2267149500e+01
2.9966400192e-04 1.2651982299e-04 1.2302957278e+01
2.9579685808e-04 1.2884577726e-04 1.2339469059e+01
2.9189157611e-04 1.3110384376e-04 1.2377530823e+01
2.8794945006e-04 1.3329462730e-04 1.2415048733e+01
2.8397168300e-04 1.3541864194e-04 1.2453744002e+01
2.7995943851e-04 1.3747640607e-04 1.2493797692e+01
2.7591388290e-04 1.3946844459e-04 1.2533216427e+01
2.7183605445e-04 1.4139519414e-04 1.2573773518e+01
2.6772700523e-04 1.4325705082e-04 1.2613701058e+01
2.6358769781e-04 1.4505437034e-04 1.2654465209e+01
2.5941905482e-04 1.4678749911e-04 1.2696324031e+01
2.5522197629e-04 1.4845672263e-04 1.2737629096e+01
2.5099734956e-04 1.5006222933e-04 1.2778055052e+01
2.4674588965e-04 1.5160420718e-04 1.2819437072e+01
2.4246841140e-04 1.5308276439e-04 1.2860033583e+01
2.3816560614e-04 1.5449794752e-04 1.2900419142e+01
2.3383815040e-04 1.5584968589e-04 1.2940740374e+01
2.2948666617e-04 1.5713787956e-04 1.2981043116e+01
2.2511179056e-04 1.5836234383e-04 1.3019890577e+01
2.2071406744e-04 1.5952280280e-04 1.3058964039e+01
2.1629406017e-04 1.6061886772e-04 1.3096851375e+01
2.1185224288e-04 1.6165002502e-04 1.3133780952e+01
2.0738909058e-04 1.6261563184e-04 1.3170506646e+01
2.0290508706e-04 1.6351495192e-04 1.3205194408e+01
1.9840060467e-04 1.6434709663e-04 1.3240609394e+01
1.9387615611e-04 1.6511095582e-04 1.3273002660e+01
1.8933204127e-04 1.6580524028e-04 1.3304481271e+01
1.8476868588e-04 1.6642846851e-04 1.3334811848e+01
1.8018645879e-04 1.6697891076e-04 1.3363077623e+01
1.7558577423e-04 1.6745450852e-04 1.3389331329e+01
1.7096704773e-04 1.6785284684e-04 1.3412236560e+01
1.6633055787e-04 1.6817110273e-04 1.3436420131e+01
1.2394242877e-04 1.6658194850e-04 1.3462750727e+01
