x_m y_m von_mises_Pa wss_mag_dyn_cm2
4.0000000000e-04 0.0000000000e+00 1.1538633187e+02 7.3461806706e-02
-4.0000000000e-04 3.0616169979e-20 6.1546027921e+02 5.7470072146e-01
3.9659445513e-04 5.9190076944e-06 6.9627927236e+01 1.1415544776e-01
3.9434012774e-04 1.1250587032e-05 4.8601903675e+01 6.7994742396e-02
3.9228666175e-04 1.6342874418e-05 4.1205944021e+01 2.9130408782e-01
3.9026192201e-04 2.1259099599e-05 3.6459506778e+01 5.9397108231e-01
3.8821128991e-04 2.6033473628e-05 3.3074249918e+01 1.3947806954e+00
3.8610859455e-04 3.0684089777e-05 3.0529977214e+01 1.8800119499e+00
3.8394031232e-04 3.5223085311e-05 2.8452326933e+01 2.4092469081e+00
3.8170035677e-04 3.9656013972e-05 2.6705134893e+01 2.9701126787e+00
3.7938490538e-04 4.3988967972e-05 2.5191454798e+01 4.1897921070e+00
3.7699280766e-04 4.8225450049e-05 2.3875505552e+01 4.8324232402e+00
3.7452395435e-04 5.2368464471e-05 2.2704715188e+01 5.4972561046e+00
3.7197908232e-04 5.6420351918e-05 2.1655948920e+01 6.1708761936e+00
3.6935934740e-04 6.0383046095e-05 2.0708580873e+01 6.8555380245e+00
3.6666609163e-04 6.4258288433e-05 1.9853111936e+01 8.2385341419e+00
3.6390082879e-04 6.8047623729e-05 1.9077786938e+01 8.9363477853e+00
3.6106522023e-04 7.1752502755e-05 1.8373234121e+01 9.6291512549e+00
3.5816100799e-04 7.5374117399e-05 1.7732887723e+01 1.0317056511e+01
3.5518992344e-04 7.8913640915e-05 1.7152013445e+01 1.1003485519e+01
3.5215374506e-04 8.2372212053e-05 1.6624890181e+01 1.1679945749e+01
3.4905425750e-04 8.5750812935e-05 1.6145943859e+01 1.3006838280e+01
3.4589325447e-04 8.9050361204e-05 1.5713135497e+01 1.3654319578e+01
3.4267244806e-04 9.2271803855e-05 1.5319401721e+01 1.4289900111e+01
3.3939371025e-04 9.5415867719e-05 1.4964075208e+01 1.4913897373e+01
3.3605870103e-04 9.8483460666e-05 1.4645517740e+01 1.5521683121e+01
3.3266907126e-04 1.0147530317e-04 1.4358344033e+01 1.6115993518e+01
3.2922653914e-04 1.0439205024e-04 1.4101719391e+01 1.6699703162e+01
3.2573272119e-04 1.0723443163e-04 1.3873187275e+01 1.7269888994e+01
3.2218916976e-04 1.1000304466e-04 1.3672673203e+01 1.8370005093e+01
3.1859741871e-04 1.1269850091e-04 1.3497034750e+01 1.8898072489e+01
3.1495899242e-04 1.1532136917e-04 1.3344724276e+01 1.9412909377e+01
3.1127530007e-04 1.1787216633e-04 1.3214231602e+01 1.9916333835e+01
3.0754773505e-04 1.2035135804e-04 1.3107768652e+01 2.0406348638e+01
3.0377759961e-04 1.2275936663e-04 1.3021690225e+01 2.0889120949e+01
2.9996616952e-04 1.2509656945e-04 1.2954900750e+01 2.1358618794e+01
2.9611465989e-04 1.2736329644e-04 1.2907147427e+01 2.1817565346e+01
2.9222422179e-04 1.2955981045e-04 1.2878800692e+01 2.2268612010e+01
2.8829589862e-04 1.3168626630e-04 1.2867821383e+01 2.3146588391e+01
2.8433071084e-04 1.3374273391e-04 1.2876094944e+01 2.3576156841e+01
2.8032959649e-04 1.3572922918e-04 1.2901865049e+01 2.4003122859e+01
2.7629344073e-04 1.3764562433e-04 1.2947583591e+01 2.4424385554e+01
2.7222293269e-04 1.3949163666e-04 1.3012120985e+01 2.4843920654e+01
2.6811882859e-04 1.4126680249e-04 1.3092313628e+01 2.5270882006e+01
2.6398170612e-04 1.4297049861e-04 1.3197452173e+01 2.5701974987e+01
2.5981190254e-04 1.4460181043e-04 1.3323261694e+01 2.6138199828e+01
2.5560963710e-04 1.4615947730e-04 1.3486137066e+01 2.6570645257e+01
2.5137531919e-04 1.4764175847e-04 1.3665789831e+01 2.6774169012e+01
2.4710842540e-04 1.4904649212e-04 1.3885354570e+01 2.6594750082e+01
2.4280860592e-04 1.5037055376e-04 1.4151904084e+01 2.6351097901e+01
2.3847465727e-04 1.5160953986e-04 1.4475498523e+01 2.6075251083e+01
2.3410409209e-04 1.5275688760e-04 1.4925774939e+01 2.5792183740e+01
2.2969153975e-04 1.5380098381e-04 1.5611235377e+01 2.5495822255e+01
2.2522416544e-04 1.5470877863e-04 1.6158382001e+01 2.5173556936e+01
2.2077330384e-04 1.5541420672e-04 1.5634560997e+01 2.4803191768e+01
2.1644276212e-04 1.5594524328e-04 1.5306378361e+01 2.4390102140e+01
2.1224806119e-04 1.5636518418e-04 1.4561869568e+01 2.3788426258e+01
2.0817899592e-04 1.5672156182e-04 1.3622304471e+01 2.3649198417e+01
2.0421203958e-04 1.5704442796e-04 1.2581282261e+01 2.3587879281e+01
2.0032631291e-04 1.5735121728e-04 1.1496222382e+01 2.3587879281e+01
1.9650703564e-04 1.5765136750e-04 1.0303208949e+01 2.3575730773e+01
1.9273337616e-04 1.5795284574e-04 9.3820537450e+00 2.3599871057e+01
1.8899602263e-04 1.5825496709e-04 8.5903661402e+00 2.3659471158e+01
1.8528712163e-04 1.5855826080e-04 8.0747183682e+00 2.3758871154e+01
1.8159890705e-04 1.5886369198e-04 7.7287380374e+00 2.3893232562e+01
1.7792365271e-04 1.5917090256e-04 7.5573959453e+00 2.4083850681e+01
1.7425570853e-04 1.5948128397e-04 7.4902132725e+00 2.4330999206e+01
1.7058600692e-04 1.5979208719e-04 7.5610364225e+00 2.4590450532e+01
1.6691051968e-04 1.6009810847e-04 7.7074291521e+00 2.4839062967e+01
1.6322696120e-04 1.6039441794e-04 7.9093581924e+00 2.5066255989e+01
1.5953522527e-04 1.6067672407e-04 8.1688044458e+00 2.5275281251e+01
1.5583612288e-04 1.6094194624e-04 8.4691829671e+00 2.5474871679e+01
1.5213041697e-04 1.6118963308e-04 8.7620545787e+00 2.5660016100e+01
1.4841541168e-04 1.6141660602e-04 9.1474954083e+00 2.5660016100e+01
1.4469396868e-04 1.6162115040e-04 9.4843601739e+00 2.5827299794e+01
1.4096590412e-04 1.6180196094e-04 9.8424703613e+00 2.5983407433e+01
1.3723231319e-04 1.6195821056e-04 1.0187349082e+01 2.6139063577e+01
1.2974564493e-04 1.6219381114e-04 1.0888072719e+01 2.6469941726e+01
1.2599075900e-04 1.6226972030e-04 1.1245763069e+01 2.6632957044e+01
1.2222769545e-04 1.6231470032e-04 1.1588745518e+01 2.6789767926e+01
1.1845694945e-04 1.6232675317e-04 1.1949957256e+01 2.6939867766e+01
1.1467889065e-04 1.6230415697e-04 1.2310059528e+01 2.7083789486e+01
1.0710217924e-04 1.6214760731e-04 1.3069601552e+01 2.7356817642e+01
1.0330429560e-04 1.6200968815e-04 1.3464843644e+01 2.7491112677e+01
9.9500606962e-05 1.6182915493e-04 1.3877515618e+01 2.7615930271e+01
9.5691511119e-05 1.6160362065e-04 1.4309689282e+01 2.7735583595e+01
9.1877552172e-05 1.6133038297e-04 1.4761869510e+01 2.7842253654e+01
8.8059565605e-05 1.6100639267e-04 1.5223194967e+01 2.7929204296e+01
8.4239033750e-05 1.6062790019e-04 1.5684325158e+01 2.8001902726e+01
8.0419151617e-05 1.6019230883e-04 1.6160942863e+01 2.8070603735e+01
7.6601174731e-05 1.5969721240e-04 1.6684237277e+01 2.8070603735e+01
7.2786058925e-05 1.5913889930e-04 1.7237763868e+01 2.8136176899e+01
6.8975366645e-05 1.5851245565e-04 1.7829759241e+01 2.8194100421e+01
6.5171352197e-05 1.5781204938e-04 1.8448962662e+01 2.8237166519e+01
6.1377045472e-05 1.5703067660e-04 1.9107256431e+01 2.8259792684e+01
5.7596510558e-05 1.5615967754e-04 1.9795889746e+01 2.8261648173e+01
5.3835251036e-05 1.5518803900e-04 2.0566501600e+01 2.8219401884e+01
5.0102568912e-05 1.5410215462e-04 2.1314561427e+01 2.8113061087e+01
4.6410257323e-05 1.5288693828e-04 2.2121854774e+01 2.7952668240e+01
4.2773198850e-05 1.5152005175e-04 2.3162128237e+01 2.7721574488e+01
3.9217234388e-05 1.4996695486e-04 2.4007807042e+01 2.7319187297e+01
3.5794990844e-05 1.4817702814e-04 2.6590786284e+01 2.6668998485e+01
3.2605033610e-05 1.4603192488e-04 2.5035866618e+01 2.5702493243e+01
3.0202685157e-05 1.4337205084e-04 3.6019918218e+01 nan
2.9083395814e-05 1.4144952670e-04 8.4106234504e+01 nan
2.7587221818e-05 1.4030744460e-04 7.9024412043e+01 nan
2.5790320079e-05 1.3943754826e-04 6.4531799416e+01 nan
2.3858462502e-05 1.3867916670e-04 5.6039575915e+01 1.0525396820e+01
2.1848342457e-05 1.3799985837e-04 5.0376281525e+01 5.5883323344e+00
1.9783130439e-05 1.3738463346e-04 4.5949879869e+01 5.5883323344e+00
1.7674810932e-05 1.3682239181e-04 4.2244646840e+01 6.6685043399e+00
1.5530782173e-05 1.3630435849e-04 3.8983140888e+01 6.6685043399e+00
1.3356200740e-05 1.3582373402e-04 3.6032938928e+01 8.3116697266e+00
1.1154710900e-05 1.3537518437e-04 3.3346874193e+01 8.3116697266e+00
8.9287100481e-06 1.3495426150e-04 3.0857463508e+01 9.5459306777e+00
6.6804251542e-06 1.3455729240e-04 2.8474922324e+01 9.5459306777e+00
4.4113823709e-06 1.3418101801e-04 2.6214380598e+01 1.0522684960e+01
2.1224912948e-06 1.3382260635e-04 2.4002910928e+01 1.1350488166e+01
-1.8535202978e-07 1.3347950748e-04 2.1845067623e+01 1.1350488166e+01
-2.5117142474e-06 1.3314927843e-04 1.9687757965e+01 1.2057009198e+01
-4.8564044801e-06 1.3282957644e-04 1.7577547785e+01 1.2057009198e+01
-7.2197837544e-06 1.3251749167e-04 1.5499735127e+01 1.2688767165e+01
-9.6005080454e-06 1.3220983141e-04 1.4225122297e+01 1.3239557090e+01
-1.1989469550e-05 1.3190953201e-04 1.4689790366e+01 1.3239557090e+01
-1.4373062574e-05 1.3162815788e-04 1.5377259386e+01 1.3674143878e+01
-1.6757738766e-05 1.3136376460e-04 1.4636362406e+01 1.3674143878e+01
-1.9149441335e-05 1.3110834052e-04 1.3463456756e+01 1.4053509004e+01
-2.1550041933e-05 1.3085848483e-04 1.2240630101e+01 1.4475289822e+01
-2.3959855517e-05 1.3061258600e-04 1.1026572815e+01 1.4475289822e+01
-2.6378912069e-05 1.3036951891e-04 9.8243600498e+00 1.4910379268e+01
-2.8807111920e-05 1.3012839865e-04 8.6491101293e+00 1.4910379268e+01
-3.1244349468e-05 1.2988848396e-04 7.5083883451e+00 1.5303382695e+01
-3.3690482987e-05 1.2964907689e-04 6.3993546427e+00 1.5659125883e+01
-3.6145261944e-05 1.2940953893e-04 5.3533162273e+00 1.5659125883e+01
-3.8608374151e-05 1.2916929317e-04 4.3615670349e+00 1.5983059649e+01
-4.1079583524e-05 1.2892779309e-04 3.5000381466e+00 1.5983059649e+01
-4.3558773132e-05 1.2868450343e-04 2.7331035433e+00 1.6279260124e+01
