x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa,is_surface,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
3.9426738075e-04,1.1271358276e-05,-3.5081404744e+00,-1.7442836337e+01,4.1113855079e+01,4.9195408003e+01,4.7205839356e+01,-9.6001247508e+00,4.7205839356e+01,9.7331939326e+00,1.0000000000e+00,3.8366449221e-02,1.4364298891e-02,-3.5575993917e-02,1.3968152923e+01,9.2726834616e-01,3.7439740145e-01
3.9220047893e-04,1.6374587604e-05,-5.4774239550e+00,-1.4335642690e+01,3.3365478717e+01,4.1691995586e+01,3.8014912255e+01,-1.0126857494e+01,3.8014912255e+01,1.0149755462e+01,1.0000000000e+00,2.4313573633e-01,9.1416799303e-02,-2.2529526201e-01,1.3922971779e+01,9.2662339734e-01,3.7599079710e-01
3.9017135742e-04,2.1304361683e-05,-6.2388713237e+00,-1.2821672650e+01,2.7905086846e+01,3.6921456778e+01,3.2149720771e+01,-1.0483505248e+01,3.2149720771e+01,1.0473421860e+01,1.0000000000e+00,5.2363807603e-01,1.9997885021e-01,-4.8394761507e-01,1.3876928129e+01,9.2420249257e-01,3.8190280533e-01
3.8812288624e-04,2.6095979051e-05,-6.5975005031e+00,-1.1955502589e+01,2.3942426108e+01,3.3559533124e+01,2.8048068286e+01,-1.0703142681e+01,2.8048068286e+01,1.0705506517e+01,1.0000000000e+00,1.2719258495e+00,5.1413688538e-01,-1.1633824091e+00,1.3788887000e+01,9.1466213185e-01,4.0421922833e-01
3.8602686496e-04,3.0768028430e-05,-6.7915185301e+00,-1.1441217594e+01,2.0884647458e+01,3.1065340830e+01,2.4982147355e+01,-1.0889018427e+01,2.4982147355e+01,1.0888710769e+01,1.0000000000e+00,1.7279278613e+00,7.2230158091e-01,-1.5697181658e+00,1.3748805733e+01,9.0843964089e-01,4.1801605095e-01
3.8386813499e-04,3.5332744949e-05,-6.8923147238e+00,-1.1076464759e+01,1.8330999864e+01,2.9047630410e+01,2.2489999807e+01,-1.1051314667e+01,2.2489999807e+01,1.1051337136e+01,1.0000000000e+00,2.2297092750e+00,9.6514031010e-01,-2.0100018987e+00,1.3712237319e+01,9.0146366670e-01,4.3285477660e-01
3.8163927246e-04,3.9795504049e-05,-6.9177062475e+00,-1.0816259286e+01,1.6135307662e+01,2.7363270830e+01,2.0406992487e+01,-1.1189391072e+01,2.0406992487e+01,1.1189393848e+01,1.0000000000e+00,3.3461352694e+00,1.5539281320e+00,-2.9634318959e+00,1.3651372927e+01,8.8562824193e-01,4.6439489349e-01
3.7933535572e-04,4.4162086790e-05,-6.8966737545e+00,-1.0610711385e+01,1.4214447005e+01,2.5912636736e+01,1.8619554420e+01,-1.1301781170e+01,1.8619554420e+01,1.1301779464e+01,1.0000000000e+00,3.9486467162e+00,1.8979778248e+00,-3.4625844489e+00,1.3627579347e+01,8.7690408835e-01,4.8066539280e-01
3.7695441816e-04,4.8435554561e-05,-6.8474845727e+00,-1.0442459447e+01,1.2518208835e+01,2.4656049004e+01,1.7070538660e+01,-1.1399814399e+01,1.7070538660e+01,1.1399814750e+01,1.0000000000e+00,4.5740604846e+00,2.2736482102e+00,-3.9689486181e+00,1.3608349107e+01,8.6770794384e-01,4.9707436486e-01
3.7449573661e-04,5.2618436961e-05,-6.7747615855e+00,-1.0293325155e+01,1.0988472116e+01,2.3538930469e+01,1.5697063108e+01,-1.1483352577e+01,1.5697063108e+01,1.1483352538e+01,1.0000000000e+00,5.2201758770e+00,2.6806489548e+00,-4.4793255482e+00,1.3593911305e+01,8.5807943139e-01,5.1351698066e-01
