x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
4.0000000000e-04 0.0000000000e+00 7.1813906617e+01 -6.6210589031e+01 8.9019604927e+01 1.1439494298e+02 1.4646270689e+02 1.4370804650e+01 1.4646270689e+02 -1.0486141776e+00 1.0000000000e+00 7.2235103755e-02 -3.8339723593e-02 6.1220713891e-02 1.4062991567e+01 8.4752025966e-01 5.3076304456e-01
-4.0000000000e-04 3.0616169979e-20 5.1736492413e+02 3.2023566427e+02 2.3020714504e+02 6.0510196135e+02 7.2314181494e+02 2.4430254289e+01 7.2314181496e+02 -1.6196417822e+00 1.0000000000e+00 5.2367037965e-01 4.2141830322e-01 3.1086537317e-01 2.3637529384e+01 -5.9362794852e-01 8.0473962170e-01
3.9661496526e-04 5.9114308874e-06 -4.6584549209e+00 -2.5788967534e+01 6.0642105167e+01 6.8948221016e+01 6.7799099087e+01 -1.1815448841e+01 6.7799099087e+01 1.0073749460e+01 1.0000000000e+00 1.1900280722e-01 -5.1877825342e-02 1.0709976361e-01 1.4042354220e+01 8.9997678296e-01 4.3593782829e-01
3.9437955980e-04 1.1235352008e-05 -3.9109609704e+00 -1.6793677460e+01 4.0137815063e+01 4.8113489907e+01 4.5891763396e+01 -9.6649093029e+00 4.5891763396e+01 9.7953291031e+00 1.0000000000e+00 3.7599874918e-02 1.3920789435e-02 -3.4927957503e-02 1.3964336839e+01 9.2893813023e-01 3.7023499323e-01
3.9234803431e-04 1.6322977728e-05 -5.7830008195e+00 -1.3831547696e+01 3.2534806991e+01 4.0810944877e+01 3.6938113096e+01 -1.0186306925e+01 3.6938113096e+01 1.0208771599e+01 1.0000000000e+00 2.4369032744e-01 9.0825650985e-02 -2.2613198980e-01 1.3918659468e+01 9.2794815525e-01 3.7270929847e-01
3.9034819452e-04 2.1238341629e-05 -6.4984609943e+00 -1.2398659490e+01 2.7167603758e+01 3.6152723571e+01 3.1207356068e+01 -1.0538213304e+01 3.1207356068e+01 1.0528317111e+01 1.0000000000e+00 5.2549136516e-01 1.9941227570e-01 -4.8618506677e-01 1.3872296656e+01 9.2520086725e-01 3.7947774012e-01
3.8832472395e-04 2.6015950511e-05 -6.8363918287e+00 -1.1576444629e+01 2.3258937009e+01 3.2852760805e+01 2.7178822885e+01 -1.0756277704e+01 2.7178822885e+01 1.0758587610e+01 1.0000000000e+00 1.2850261021e+00 5.1817282863e-01 -1.1759204917e+00 1.3783655084e+01 9.1509463486e-01 4.0323914648e-01
3.8625062094e-04 3.0673920740e-05 -7.0232851147e+00 -1.1084272526e+01 2.0231832426e+01 3.0391065349e+01 2.4150563416e+01 -1.0942016105e+01 2.4150563416e+01 1.0941716623e+01 1.0000000000e+00 1.7471928325e+00 7.2967886128e-01 -1.5875300165e+00 1.3743341684e+01 9.0861751890e-01 4.1762926663e-01
3.8411161126e-04 3.5224205493e-05 -7.1248769521e+00 -1.0729370623e+01 1.7697325944e+01 2.8390400258e+01 2.1677429728e+01 -1.1104980735e+01 2.1677429728e+01 1.1105001805e+01 1.0000000000e+00 2.2555720616e+00 9.7662788931e-01 -2.0331756665e+00 1.3706690722e+01 9.0140133456e-01 4.3298456561e-01
3.8190093920e-04 3.9672084261e-05 -7.1571989737e+00 -1.0471006057e+01 1.5514252874e+01 2.6713658141e+01 1.9601664669e+01 -1.1244610769e+01 1.9601664669e+01 1.1244613691e+01 1.0000000000e+00 2.8054792891e+00 1.2595866674e+00 -2.5068217864e+00 1.3674296259e+01 8.9354492695e-01 4.4897378935e-01
3.7961422783e-04 4.4023300167e-05 -7.1471914705e+00 -1.0262233994e+01 1.3602408071e+01 2.5264520625e+01 1.7814086084e+01 -1.1358869483e+01 1.7814086084e+01 1.1358867803e+01 1.0000000000e+00 3.9975773874e+00 1.9266075836e+00 -3.5026858534e+00 1.3622238558e+01 8.7620213792e-01 4.8194378666e-01
3.7724992994e-04 4.8280958056e-05 -7.1117455062e+00 -1.0087675383e+01 1.1913813477e+01 2.4005801622e+01 1.6260790014e+01 -1.1458722043e+01 1.6260790014e+01 1.1458722384e+01 1.0000000000e+00 4.6297328612e+00 2.3085084470e+00 -4.0131303388e+00 1.3603227564e+01 8.6681682488e-01 4.9862670617e-01
