x_m,y_m,von_mises_Pa,wss_mag_dyn_cm2
4.0000000000e-04,0.0000000000e+00,1.1433679814e+02,7.2161804617e-02
-4.0000000000e-04,3.0616169979e-20,6.1075490235e+02,5.4300186142e-01
3.9661622756e-04,5.9119632966e-06,6.8986191793e+01,1.1748340481e-01
3.9437953988e-04,1.1236644771e-05,4.8165908992e+01,5.0246839068e-02
3.9234403943e-04,1.6324174707e-05,4.0855377637e+01,2.5672184371e-01
3.9033802593e-04,2.1238074900e-05,3.6178036481e+01,5.4378908278e-01
3.8830672114e-04,2.6012585824e-05,3.2852442301e+01,1.3218395312e+00
3.8622363884e-04,3.0665722159e-05,3.0361582810e+01,1.7915507427e+00
3.8407495221e-04,3.5209452994e-05,2.8331455752e+01,2.3056769045e+00
3.8185429210e-04,3.9649145867e-05,2.6626335114e+01,2.8591387944e+00
3.7955760086e-04,4.3990675247e-05,2.5150272867e+01,4.0613244776e+00
3.7718357537e-04,4.8237316124e-05,2.3867076399e+01,4.6964135554e+00
3.7473197741e-04,5.2391869627e-05,2.2725064213e+01,5.3520455272e+00
3.7220348282e-04,5.6456469855e-05,2.1700555343e+01,6.0215661519e+00
3.6959919671e-04,6.0432862914e-05,2.0774005806e+01,6.6977451564e+00
3.6692046132e-04,6.4322627876e-05,1.9936029045e+01,8.0733517795e+00
3.6416881876e-04,6.8127188821e-05,1.9175673351e+01,8.7628678358e+00
3.6134596570e-04,7.1847909155e-05,1.8484251822e+01,9.4514303000e+00
3.5845366940e-04,7.5485907784e-05,1.7855217883e+01,1.0135399562e+01
3.5549369775e-04,7.9042263520e-05,1.7283486799e+01,1.0814226145e+01
3.5246790020e-04,8.2518048493e-05,1.6763976206e+01,1.1486734503e+01
3.4937813198e-04,8.5914242634e-05,1.6291772981e+01,1.2800534283e+01
3.4622622802e-04,8.9231757356e-05,1.5865054420e+01,1.3444058102e+01
3.4301395603e-04,9.2471537051e-05,1.5476867616e+01,1.4069911526e+01
3.3974322431e-04,9.5634315970e-05,1.5126515113e+01,1.4684047865e+01
3.3641574297e-04,9.8721001732e-05,1.4812744077e+01,1.5285105773e+01
3.3303325381e-04,1.0173237861e-04,1.4529644807e+01,1.5871289046e+01
3.2959751492e-04,1.0466913529e-04,1.4276536854e+01,1.6447627856e+01
3.2611017113e-04,1.0753202386e-04,1.4051872938e+01,1.7557464100e+01
3.2257284218e-04,1.1032173219e-04,1.3854827603e+01,1.8090434582e+01
3.1898709867e-04,1.1303893046e-04,1.3682410092e+01,1.8608598204e+01
3.1535449479e-04,1.1568424478e-04,1.3533442163e+01,1.9110386141e+01
3.1167649480e-04,1.1825828572e-04,1.3406147641e+01,1.9601144577e+01
3.0795453860e-04,1.2076162080e-04,1.3302447523e+01,2.0081455891e+01
3.0418995389e-04,1.2319476246e-04,1.3218910066e+01,2.0549679249e+01
3.0038408225e-04,1.2555819645e-04,1.3154281769e+01,2.1005473743e+01
2.9653821179e-04,1.2785243235e-04,1.3108204069e+01,2.1881615729e+01
2.9265349230e-04,1.3007786254e-04,1.3081729834e+01,2.2307725790e+01
2.8873105440e-04,1.3223482774e-04,1.3071959797e+01,2.2724093774e+01
2.8477202258e-04,1.3432365257e-04,1.3079623071e+01,2.3125808373e+01
2.8077732839e-04,1.3634452884e-04,1.3105105707e+01,2.3526488218e+01
2.7674792294e-04,1.3829757206e-04,1.3149194516e+01,2.3926151284e+01
2.7268465704e-04,1.4018289728e-04,1.3210302785e+01,2.4314346527e+01
2.6858838474e-04,1.4200048898e-04,1.3286262011e+01,2.4699066585e+01
2.6445975716e-04,1.4375016566e-04,1.3384484480e+01,2.5462772902e+01
2.6029930972e-04,1.4543161072e-04,1.3500884802e+01,2.5842613058e+01
2.5610757164e-04,1.4704436059e-04,1.3644409113e+01,2.6225909564e+01
2.5188513427e-04,1.4858773242e-04,1.3801183136e+01,2.6614179383e+01
2.4763205251e-04,1.5006082967e-04,1.3986189271e+01,2.7007150775e+01
2.4334860912e-04,1.5146240537e-04,1.4198057888e+01,2.7415013588e+01
2.3903470340e-04,1.5279084738e-04,1.4440578894e+01,2.7833997772e+01
2.3469001210e-04,1.5404384606e-04,1.4727645600e+01,2.8294783320e+01
2.3031387284e-04,1.5521846804e-04,1.5060096006e+01,2.9278039955e+01
