x_m,y_m,von_mises_Pa,wss_mag_dyn_cm2
4.0000000000e-04,0.0000000000e+00,1.1522887690e+02,7.1430443721e-02
-4.0000000000e-04,3.0616169979e-20,6.0189989168e+02,5.0733101018e-01
3.9659767487e-04,5.9159324322e-06,6.9368802636e+01,1.1814155168e-01
3.9435122384e-04,1.1244116159e-05,4.8370489027e+01,3.5194156644e-02
3.9231172958e-04,1.6335625596e-05,4.1018834625e+01,2.3645035872e-01
3.9030601142e-04,2.1254882033e-05,3.6336609690e+01,5.1357064729e-01
3.8827817083e-04,2.6036667877e-05,3.3027006380e+01,1.2656522379e+00
3.8620077927e-04,3.0699250817e-05,3.0564059573e+01,1.7243006100e+00
3.8405923116e-04,3.5254656951e-05,2.8566170054e+01,2.2262612385e+00
3.8184650776e-04,3.9708172050e-05,2.6894358078e+01,2.7676356351e+00
3.7955801256e-04,4.4065519610e-05,2.5451370271e+01,3.9438234084e+00
3.7719203471e-04,4.8329752611e-05,2.4199081623e+01,4.5724050582e+00
3.7474803025e-04,5.2503428334e-05,2.3084683216e+01,5.2187847581e+00
3.7222647403e-04,5.6588433365e-05,2.2084174841e+01,5.8774817342e+00
3.6962832705e-04,6.0586304642e-05,2.1178672165e+01,7.2287146717e+00
3.6695483646e-04,6.4498417005e-05,2.0358532647e+01,7.9112857159e+00
3.6420749657e-04,6.8326002520e-05,1.9612852757e+01,8.5949090035e+00
3.6138801044e-04,7.2070252080e-05,1.8933101846e+01,9.2753973258e+00
3.5849817732e-04,7.5732167162e-05,1.8313390766e+01,9.9547385958e+00
3.5553980170e-04,7.9312727846e-05,1.7748997934e+01,1.0626792527e+01
3.5251478458e-04,8.2812923277e-05,1.7235057685e+01,1.1948233352e+01
3.4942504898e-04,8.6233677999e-05,1.6766826644e+01,1.2594035318e+01
3.4627249411e-04,8.9575853515e-05,1.6342178140e+01,1.3226237926e+01
3.4305896613e-04,9.2840350468e-05,1.5955290366e+01,1.3845859777e+01
3.3978647526e-04,9.6027951533e-05,1.5605344138e+01,1.4455341998e+01
3.3645681220e-04,9.9139573494e-05,1.5290338673e+01,1.5045644773e+01
3.3307176580e-04,1.0217598815e-04,1.5005891131e+01,1.5617135430e+01
3.2963318254e-04,1.0513795332e-04,1.4751041802e+01,1.6738205899e+01
3.2614280113e-04,1.0802628481e-04,1.4523663496e+01,1.7262717668e+01
3.2260232314e-04,1.1084172806e-04,1.4323156043e+01,1.7782701367e+01
3.1901339872e-04,1.1358503222e-04,1.4146343811e+01,1.8289892704e+01
3.1537764673e-04,1.1625688442e-04,1.3992602933e+01,1.8768856282e+01
3.1169664745e-04,1.1885802342e-04,1.3859633733e+01,1.9242715777e+01
3.0797192771e-04,1.2138913989e-04,1.3748481826e+01,1.9705665431e+01
3.0420490345e-04,1.2385084572e-04,1.3656885029e+01,2.0578831913e+01
3.0039699187e-04,1.2624379795e-04,1.3583541883e+01,2.0996174637e+01
2.9654957524e-04,1.2856865024e-04,1.3527412739e+01,2.1406051851e+01
2.9266394382e-04,1.3082598750e-04,1.3488188062e+01,2.1802570511e+01
2.8874129304e-04,1.3301630041e-04,1.3465337496e+01,2.2184446543e+01
2.8478287505e-04,1.3514016979e-04,1.3457986312e+01,2.2555045029e+01
2.8078980022e-04,1.3719807791e-04,1.3464903444e+01,2.2919229740e+01
2.7676317085e-04,1.3919041652e-04,1.3487517640e+01,2.3272622480e+01
2.7270401357e-04,1.4111767696e-04,1.3524327352e+01,2.3948615484e+01
2.6861328113e-04,1.4298018468e-04,1.3573913026e+01,2.4281202897e+01
2.6449191129e-04,1.4477820485e-04,1.3638552990e+01,2.4601033521e+01
