x_m y_m von_mises_Pa wss_mag_dyn_cm2
4.0000000000e-04 0.0000000000e+00 1.2808030235e+02 6.9965148269e-02
-4.0000000000e-04 3.0616169979e-20 6.4810292143e+02 8.9966408564e-01
3.9633851925e-04 5.9907494171e-06 7.6915864625e+01 6.6388406395e-02
3.9388393713e-04 1.1390167758e-05 5.3297715659e+01 2.7566427063e-01
3.9164161035e-04 1.6528811343e-05 4.4879770361e+01 5.9748710704e-01
3.8943320793e-04 2.1469829392e-05 3.9385056045e+01 1.4259503861e+00
3.8720345759e-04 2.6249178093e-05 3.5415964993e+01 1.9066375500e+00
3.8492696513e-04 3.0886893623e-05 3.2393429477e+01 2.4217398163e+00
3.8259102062e-04 3.5397288705e-05 2.9916024557e+01 2.9610335694e+00
3.8019037569e-04 3.9787711784e-05 2.7830579571e+01 4.1009020201e+00
3.7772165305e-04 4.4066049368e-05 2.6025361648e+01 4.6945885848e+00
3.7518389677e-04 4.8237403541e-05 2.4460442073e+01 5.3086799019e+00
3.7257701698e-04 5.2306095287e-05 2.3075467882e+01 5.9311769480e+00
3.6990154715e-04 5.6275654229e-05 2.1843326702e+01 6.5600261821e+00
3.6715841412e-04 6.0148865449e-05 2.0734834778e+01 7.8390004942e+00
3.6434861029e-04 6.3928166747e-05 1.9739030336e+01 8.4836735696e+00
3.6147329314e-04 6.7615625683e-05 1.8839197604e+01 9.1272146995e+00
3.5853378809e-04 7.1213010497e-05 1.8020909283e+01 9.7668451415e+00
3.5553151890e-04 7.4721639167e-05 1.7274037702e+01 1.0402505737e+01
3.5246789892e-04 7.8142628943e-05 1.6590885104e+01 1.1032327880e+01
3.4934444323e-04 8.1476953477e-05 1.5963622267e+01 1.1653203174e+01
3.4616268494e-04 8.4725329261e-05 1.5384835553e+01 1.2868273604e+01
3.4292414902e-04 8.7888249313e-05 1.4852143125e+01 1.3456379090e+01
3.3963032165e-04 9.0966070540e-05 1.4353493398e+01 1.4035381948e+01
3.3628281905e-04 9.3958830114e-05 1.3890997993e+01 1.4597911627e+01
3.3288297470e-04 9.6866447861e-05 1.3461661512e+01 1.5143436561e+01
3.2943200054e-04 9.9688389060e-05 1.3064258355e+01 1.5671752645e+01
3.2593054416e-04 1.0242332803e-04 1.2692711793e+01 1.6183881365e+01
3.2237791388e-04 1.0506601408e-04 1.2221933031e+01 1.6677833784e+01
3.1878783712e-04 1.0760547380e-04 1.1610880084e+01 1.7154668784e+01
3.1517281903e-04 1.1004783563e-04 1.1061465042e+01 1.8059270304e+01
3.1153542064e-04 1.1240014021e-04 1.0559556702e+01 1.8482608514e+01
3.0787755195e-04 1.1466629765e-04 1.0186338676e+01 1.8892899337e+01
3.0420110316e-04 1.1684791883e-04 9.8541118473e+00 1.9287884915e+01
3.0051046659e-04 1.1894984906e-04 9.5620500312e+00 1.9665318980e+01
2.9680583169e-04 1.2097443684e-04 9.3028143466e+00 2.0026385079e+01
2.9308852655e-04 1.2292396597e-04 9.0686454053e+00 2.0372983272e+01
2.8936019791e-04 1.2480012270e-04 8.8465310866e+00 2.0706050007e+01
2.8562306368e-04 1.2660526456e-04 8.6416285245e+00 2.1021848540e+01
2.8187800223e-04 1.2834105354e-04 8.4540638786e+00 2.1324785938e+01
2.7812748112e-04 1.3000944889e-04 8.2873113027e+00 2.1616508525e+01
2.7437235135e-04 1.3161211315e-04 8.1315762245e+00 2.1890556445e+01
2.7061577659e-04 1.3315227033e-04 7.9633695789e+00 2.2148128604e+01
