x_m y_m sigma_comp_mag_Pa
4.0000000000e-04 0.0000000000e+00 -1.0553029098e+00
-4.0000000000e-04 3.0616169979e-20 -1.6195144749e+00
3.9658876051e-04 5.9183403717e-06 1.0038391855e+01
3.9433639362e-04 1.1248852677e-05 9.7727769109e+00
3.9229230651e-04 1.6342411857e-05 1.0187691001e+01
3.9028285126e-04 2.1263583141e-05 1.0508727619e+01
3.8825188111e-04 2.6047262058e-05 1.0739288041e+01
3.8617179992e-04 3.0711783541e-05 1.0921850403e+01
3.8402787515e-04 3.5269212195e-05 1.1084201019e+01
3.8181299020e-04 3.9724844810e-05 1.1222301714e+01
3.7952246886e-04 4.4084407665e-05 1.1335006334e+01
3.7715453495e-04 4.8350947339e-05 1.1433306999e+01
3.7470859943e-04 5.2527004777e-05 1.1517281307e+01
3.7218510603e-04 5.6614449426e-05 1.1589180514e+01
3.6958499425e-04 6.0614803369e-05 1.1650358003e+01
3.6690949159e-04 6.4529424269e-05 1.1702927664e+01
3.6416007861e-04 6.8359525696e-05 1.1748797848e+01
3.6133845250e-04 7.2106280563e-05 1.1789182211e+01
3.5844641000e-04 7.5770675773e-05 1.1825651335e+01
3.5548575643e-04 7.9353678576e-05 1.1858674013e+01
3.5245839256e-04 8.2856269493e-05 1.1889497905e+01
3.4936624274e-04 8.6279362295e-05 1.1919243916e+01
3.4621121923e-04 8.9623815441e-05 1.1947776826e+01
3.4299518047e-04 9.2890544085e-05 1.1975394050e+01
3.3972011792e-04 9.6080308632e-05 1.2003704268e+01
3.3638783226e-04 9.9194017654e-05 1.2031503281e+01
3.3300013848e-04 1.0223246500e-04 1.2059634534e+01
3.2955888111e-04 1.0519639741e-04 1.2088722607e+01
3.2606580309e-04 1.0808662739e-04 1.2118403921e+01
3.2252261847e-04 1.1090391097e-04 1.2148876929e+01
3.1893098618e-04 1.1364899615e-04 1.2179960456e+01
3.1529255054e-04 1.1632259964e-04 1.2212127154e+01
3.1160886522e-04 1.1892544590e-04 1.2245055303e+01
3.0788145951e-04 1.2145821996e-04 1.2279155604e+01
3.0411180094e-04 1.2392158777e-04 1.2314636060e+01
3.0030129982e-04 1.2631619701e-04 1.2349941041e+01
2.9645132052e-04 1.2864266800e-04 1.2386770368e+01
2.9256319046e-04 1.3090161336e-04 1.2424097209e+01
2.8863815435e-04 1.3309359334e-04 1.2462354669e+01
2.8467744269e-04 1.3521916315e-04 1.2500298851e+01
2.8068216046e-04 1.3727880042e-04 1.2538942578e+01
2.7665341118e-04 1.3927295245e-04 1.2579561754e+01
2.7259225666e-04 1.4120212945e-04 1.2619058488e+01
2.6849968636e-04 1.4306664277e-04 1.2658995752e+01
2.6437666028e-04 1.4486683282e-04 1.2699830749e+01
2.6022406687e-04 1.4660305191e-04 1.2740188765e+01
2.5604271996e-04 1.4827549043e-04 1.2780623088e+01
2.5183346038e-04 1.4988428625e-04 1.2820195183e+01
2.4759693851e-04 1.5142957366e-04 1.2860706702e+01
2.4333390970e-04 1.5291138374e-04 1.2900383473e+01
2.3904498905e-04 1.5432968451e-04 1.2939531376e+01
2.3473076302e-04 1.5568429515e-04 1.2978285774e+01
2.3039174762e-04 1.5697498330e-04 1.3016960192e+01
2.2602848100e-04 1.5820140417e-04 1.3053306525e+01
2.2164136579e-04 1.5936305831e-04 1.3089944932e+01
2.1723084216e-04 1.6045929809e-04 1.3125992592e+01
2.1279725114e-04 1.6148936145e-04 1.3159348315e+01
2.0834085135e-04 1.6245220814e-04 1.3191550467e+01
2.0386190547e-04 1.6334658143e-04 1.3222232917e+01
1.9936055661e-04 1.6417104432e-04 1.3253349854e+01
1.9483709391e-04 1.6492372972e-04 1.3279961897e+01
1.9029147078e-04 1.6560240875e-04 1.3303924381e+01
1.8572372690e-04 1.6620431121e-04 1.3326074012e+01
1.8113379616e-04 1.6672602889e-04 1.3345897387e+01
1.7652158678e-04 1.6716334267e-04 1.3358298149e+01
1.7188675833e-04 1.6751055602e-04 1.3366258252e+01
