x_m,y_m,von_mises_Pa,wss_mag_dyn_cm2
4.0000000000e-04,0.0000000000e+00,1.1479715484e+02,7.2037602749e-02
-4.0000000000e-04,3.0616169979e-20,6.0339463624e+02,5.1280053758e-01
3.9660661146e-04,5.9135671800e-06,6.9147786491e+01,1.1967097283e-01
3.9436596934e-04,1.1239491259e-05,4.8233899092e+01,3.7679989440e-02
3.9233081254e-04,1.6328975023e-05,4.0908132381e+01,2.4326100839e-01
3.9032845146e-04,2.1246264264e-05,3.6239275953e+01,5.2171361355e-01
3.8830326518e-04,2.6026012054e-05,3.2935900930e+01,1.2778825911e+00
3.8622802353e-04,3.0686413327e-05,3.0474981728e+01,1.7397763996e+00
3.8408827158e-04,3.5239455438e-05,2.8477032335e+01,2.2484795023e+00
3.8187710854e-04,3.9690416055e-05,2.6803960128e+01,2.7960416952e+00
3.7959003979e-04,4.4045021220e-05,2.5358922080e+01,3.9853330027e+00
3.7722542735e-04,4.8306341880e-05,2.4104268674e+01,4.6159640760e+00
3.7478278694e-04,5.2476960123e-05,2.2987566949e+01,5.2670236721e+00
3.7226263553e-04,5.6558798730e-05,2.1985180571e+01,5.9319142022e+00
3.6966595934e-04,6.0553430406e-05,2.1078232954e+01,6.6070040567e+00
3.6699401965e-04,6.4462255096e-05,2.0256891843e+01,7.9784892330e+00
3.6424832224e-04,6.8286517769e-05,1.9510012888e+01,8.6634932678e+00
3.6143058014e-04,7.2027422277e-05,1.8829231389e+01,9.3490057904e+00
3.5854259690e-04,7.5685988965e-05,1.8208616814e+01,1.0029890598e+01
3.5558617976e-04,7.9263211489e-05,1.7643582391e+01,1.0705158182e+01
3.5256322659e-04,8.2760104425e-05,1.7129377630e+01,1.1372297198e+01
3.4947564176e-04,8.6177599392e-05,1.6661029135e+01,1.2678417560e+01
3.4632531988e-04,8.9516560855e-05,1.6236813616e+01,1.3313827841e+01
3.4311410893e-04,9.2777921385e-05,1.5850229472e+01,1.3935468532e+01
3.3984399075e-04,9.5962437257e-05,1.5500661155e+01,1.4545052089e+01
3.3651674809e-04,9.9071024249e-05,1.5186400877e+01,1.5137829128e+01
3.3313417042e-04,1.0210446764e-04,1.4902433849e+01,1.5717912510e+01
3.2969809492e-04,1.0506351093e-04,1.4648376902e+01,1.6284149126e+01
3.2621025375e-04,1.0794899323e-04,1.4421962556e+01,1.7364115013e+01
3.2267228807e-04,1.1076162007e-04,1.4222725213e+01,1.7881659382e+01
3.1908585207e-04,1.1350211203e-04,1.4047444322e+01,1.8386392037e+01
3.1545260970e-04,1.1617120633e-04,1.3894510230e+01,1.8877557765e+01
3.1177408398e-04,1.1876959911e-04,1.3762964784e+01,1.9352242987e+01
3.0805178238e-04,1.2129795641e-04,1.3653717256e+01,1.9814123252e+01
3.0428712760e-04,1.2375690130e-04,1.3563685148e+01,2.0260973253e+01
3.0048152626e-04,1.2614705782e-04,1.3492006588e+01,2.0697034191e+01
2.9663634947e-04,1.2846907353e-04,1.3437589809e+01,2.1524608095e+01
2.9275283878e-04,1.3072348435e-04,1.3401042581e+01,2.1924123324e+01
2.8883221591e-04,1.3291079712e-04,1.3380378558e+01,2.2311122424e+01
2.8487571980e-04,1.3503156824e-04,1.3375072984e+01,2.2687045470e+01
2.8088440145e-04,1.3708621616e-04,1.3385661267e+01,2.3053331876e+01
2.7685934169e-04,1.3907514384e-04,1.3412611706e+01,2.3410606552e+01
2.7280155467e-04,1.4099879598e-04,1.3453168384e+01,2.3762912811e+01
2.6871200275e-04,1.4285743923e-04,1.3506743274e+01,2.4106695579e+01
2.6459159272e-04,1.4465134775e-04,1.3576450242e+01,2.4769643054e+01
2.6044113076e-04,1.4638075132e-04,1.3659724882e+01,2.5093703314e+01
2.5626138912e-04,1.4804575826e-04,1.3761509351e+01,2.5412938480e+01
2.5205315653e-04,1.4964640106e-04,1.3873530321e+01,2.5727372061e+01
2.4781698958e-04,1.5118267883e-04,1.4003133433e+01,2.6037775189e+01
2.4355357837e-04,1.5265447898e-04,1.4147734311e+01,2.6347998175e+01
2.3926341517e-04,1.5406155595e-04,1.4308798741e+01,2.6649848866e+01
2.3494697728e-04,1.5540346944e-04,1.4488920801e+01,2.6957379597e+01
