x_m,y_m,sigma_comp_mag_Pa
4.0000000000e-04,0.0000000000e+00,-1.0529923986e+00
-4.0000000000e-04,3.0616169979e-20,-1.6192559146e+00
3.9659767487e-04,5.9159324322e-06,1.0050589936e+01
3.9435122384e-04,1.1244116159e-05,9.7809027735e+00
3.9231172958e-04,1.6335625596e-05,1.0195375517e+01
3.9030601142e-04,2.1254882033e-05,1.0515863428e+01
3.8827817083e-04,2.6036667877e-05,1.0746210957e+01
3.8620077927e-04,3.0699250817e-05,1.0928837850e+01
3.8405923116e-04,3.5254656951e-05,1.1091367812e+01
3.8184650776e-04,3.9708172050e-05,1.1229760759e+01
3.7955801256e-04,4.4065519610e-05,1.1342813155e+01
3.7719203471e-04,4.8329752611e-05,1.1441403140e+01
3.7474803025e-04,5.2503428334e-05,1.1525595179e+01
3.7222647403e-04,5.6588433365e-05,1.1597690611e+01
3.6962832705e-04,6.0586304642e-05,1.1659161582e+01
3.6695483646e-04,6.4498417005e-05,1.1712052536e+01
3.6420749657e-04,6.8326002520e-05,1.1758199036e+01
3.6138801044e-04,7.2070252080e-05,1.1798836337e+01
3.5849817732e-04,7.5732167162e-05,1.1835533771e+01
3.5553980170e-04,7.9312727846e-05,1.1868776744e+01
3.5251478458e-04,8.2812923277e-05,1.1899826465e+01
3.4942504898e-04,8.6233677999e-05,1.1929596418e+01
3.4627249411e-04,8.9575853515e-05,1.1958034211e+01
3.4305896613e-04,9.2840350468e-05,1.1986231214e+01
3.3978647526e-04,9.6027951533e-05,1.2014706258e+01
3.3645681220e-04,9.9139573494e-05,1.2042148236e+01
3.3307176580e-04,1.0217598815e-04,1.2070477293e+01
3.2963318254e-04,1.0513795332e-04,1.2099670082e+01
3.2614280113e-04,1.0802628481e-04,1.2129200188e+01
3.2260232314e-04,1.1084172806e-04,1.2159644542e+01
3.1901339872e-04,1.1358503222e-04,1.2190257515e+01
3.1537764673e-04,1.1625688442e-04,1.2222905000e+01
3.1169664745e-04,1.1885802342e-04,1.2255989452e+01
3.0797192771e-04,1.2138913989e-04,1.2289026024e+01
3.0420490345e-04,1.2385084572e-04,1.2324660867e+01
3.0039699187e-04,1.2624379795e-04,1.2360580211e+01
2.9654957524e-04,1.2856865024e-04,1.2396814658e+01
2.9266394382e-04,1.3082598750e-04,1.2432852732e+01
2.8874129304e-04,1.3301630041e-04,1.2471582355e+01
2.8478287505e-04,1.3514016979e-04,1.2509859840e+01
2.8078980022e-04,1.3719807791e-04,1.2547995721e+01
2.7676317085e-04,1.3919041652e-04,1.2588114578e+01
2.7270401357e-04,1.4111767696e-04,1.2627436797e+01
2.6861328113e-04,1.4298018468e-04,1.2666307677e+01
2.6449191129e-04,1.4477820485e-04,1.2706856426e+01
2.6034077944e-04,1.4651206777e-04,1.2747069740e+01
2.5616065493e-04,1.4818195715e-04,1.2786531383e+01
2.5195236435e-04,1.4978791642e-04,1.2826375886e+01
2.4771656792e-04,1.5133007059e-04,1.2866093244e+01
2.4345395197e-04,1.5280838381e-04,1.2904709269e+01
2.3916508520e-04,1.5422273412e-04,1.2943737780e+01
2.3485055358e-04,1.5557289051e-04,1.2981180800e+01
2.3051080140e-04,1.5685849754e-04,1.3017889746e+01
2.2614627972e-04,1.5807903808e-04,1.3053620392e+01
2.2175734613e-04,1.5923390900e-04,1.3089670663e+01
2.1734438371e-04,1.6032231816e-04,1.3123284213e+01
2.1290761401e-04,1.6134321865e-04,1.3154894040e+01
2.0844720850e-04,1.6229528867e-04,1.3185867850e+01
2.0396332341e-04,1.6317696294e-04,1.3212961996e+01
1.9945590120e-04,1.6398628465e-04,1.3241676220e+01
1.9492509732e-04,1.6472077536e-04,1.3264887410e+01
1.9037059955e-04,1.6537740204e-04,1.3284811031e+01
1.8579210509e-04,1.6595228414e-04,1.3300893644e+01
1.8118902577e-04,1.6644029667e-04,1.3310477003e+01
1.7656048300e-04,1.6683460579e-04,1.3318749104e+01
1.7190468065e-04,1.6712533107e-04,1.3295934790e+01
1.6721781750e-04,1.6729600718e-04,1.3233743989e+01
1.6248994498e-04,1.6730799417e-04,1.4259022824e+01
1.5779877131e-04,1.6707095961e-04,1.7706660741e+01
1.5335706353e-04,1.6664629799e-04,1.7702825929e+01
1.4913993498e-04,1.6615611236e-04,1.8011445138e+01
1.4508732046e-04,1.6565810088e-04,1.7914161282e+01
1.4114480680e-04,1.6517616525e-04,1.7612283608e+01
1.3728420826e-04,1.6472113630e-04,1.7189886499e+01
1.3345132159e-04,1.6428777206e-04,1.7491517585e+01
1.2964203480e-04,1.6386262130e-04,1.7926699473e+01
1.2584773580e-04,1.6343702097e-04,1.8002575183e+01
1.2206147920e-04,1.6300442965e-04,1.8080548007e+01
1.1827794151e-04,1.6255819402e-04,1.8128267422e+01
1.1449339497e-04,1.6209129409e-04,1.8143096578e+01
1.1070505592e-04,1.6159645337e-04,1.8153092828e+01
1.0691295145e-04,1.6106715048e-04,1.8125633292e+01
1.0311517112e-04,1.6049618232e-04,1.8119485155e+01
9.9312090937e-05,1.5987641317e-04,1.8090578105e+01
9.5503633589e-05,1.5919954852e-04,1.8067186418e+01
9.1690609357e-05,1.5845620801e-04,1.8042436180e+01
8.7874046571e-05,1.5763553064e-04,1.8030816498e+01
8.4055899854e-05,1.5672469916e-04,1.8033910701e+01
8.0241890719e-05,1.5570802061e-04,1.8058049479e+01
7.6443898412e-05,1.5456566953e-04,1.8103964885e+01
7.2679923470e-05,1.5327087193e-04,1.8156917220e+01
6.8978552665e-05,1.5178800623e-04,1.8291878586e+01
6.5379000764e-05,1.5006339525e-04,1.7559394022e+01
6.1968296381e-05,1.4798673254e-04,2.3229472849e+01
5.9153144753e-05,1.4528309222e-04,1.9241613936e+00
5.7928200064e-05,1.4300809462e-04,6.1525485833e+01
5.6550104331e-05,1.4173439693e-04,1.2797759206e+02
5.4796986401e-05,1.4077218149e-04,1.0448157498e+02
5.2902425563e-05,1.3994173817e-04,9.6283975154e+01
5.0925401289e-05,1.3920545136e-04,9.1822698617e+01
4.8893943903e-05,1.3854705234e-04,8.7723293703e+01
4.6818048828e-05,1.3795220072e-04,8.4289106970e+01
4.4706362707e-05,1.3740985599e-04,8.1132731585e+01
4.2564089845e-05,1.3691212781e-04,7.8263902600e+01
4.0395324490e-05,1.3645327273e-04,7.5552017487e+01
3.8202768117e-05,1.3602801026e-04,7.3044270429e+01
3.5988582716e-05,1.3563210768e-04,7.0608904915e+01
3.3754342995e-05,1.3526191853e-04,6.8250511927e+01
3.1501261036e-05,1.3491435408e-04,6.5949296554e+01
2.9230276582e-05,1.3458672332e-04,6.3699209693e+01
2.6941993793e-05,1.3427658153e-04,6.1468402421e+01
2.4636864008e-05,1.3398168446e-04,5.9256280712e+01
2.2315132960e-05,1.3369993834e-04,5.7040763753e+01
1.9976819306e-05,1.3342930461e-04,5.4807129102e+01
1.7621696922e-05,1.3316760129e-04,5.2555622218e+01
1.5249319714e-05,1.3291208805e-04,5.0369331468e+01
1.2860663473e-05,1.3265871732e-04,4.9118351314e+01
1.0464574670e-05,1.3241173421e-04,5.0729146574e+01
8.0771219465e-06,1.3218473128e-04,5.1760248343e+01
5.6908485313e-06,1.3197465887e-04,5.0750668708e+01
3.2981013644e-06,1.3177332279e-04,4.9307438376e+01
8.9753935729e-07,1.3157769224e-04,4.7909747597e+01
-1.5112899358e-06,1.3138627109e-04,4.6529041563e+01
-3.9285152105e-06,1.3119799092e-04,4.5154433810e+01
-6.3541746206e-06,1.3101199203e-04,4.3802757293e+01
-8.7882614052e-06,1.3082755029e-04,4.2485298344e+01
-1.1230729990e-05,1.3064394053e-04,4.1167744780e+01
-1.3681460321e-05,1.3046058353e-04,3.9874936820e+01
-1.6140379172e-05,1.3027695416e-04,3.8629489015e+01
-1.8607190773e-05,1.3009253259e-04,3.7425156860e+01
-2.1081584184e-05,1.2990686196e-04,3.6256346938e+01
-2.3563459081e-05,1.2971947484e-04,3.5076254749e+01
-2.6052752918e-05,1.2952988480e-04,3.3869617292e+01
-2.8549355023e-05,1.2933770526e-04,3.2704355113e+01
-3.1053109797e-05,1.2914255865e-04,3.2355247607e+01
-3.3563852908e-05,1.2894409175e-04,3.2256395654e+01
-3.6081421709e-05,1.2874196529e-04,3.2230029453e+01
-3.8605638175e-05,1.2853585651e-04,3.2229068737e+01
-4.1136350399e-05,1.2832546690e-04,3.2233686891e+01
-4.3673367159e-05,1.2811051233e-04,3.2236105328e+01
-4.6216528101e-05,1.2789071365e-04,3.2248247080e+01
-4.8765654602e-05,1.2766580738e-04,3.2262367772e+01
-5.1320577137e-05,1.2743553719e-04,3.2278508823e+01
-5.3881115109e-05,1.2719966730e-04,3.2295261468e+01
-5.6447096820e-05,1.2695797309e-04,3.2316048998e+01
-5.9018354648e-05,1.2671023674e-04,3.2336719894e+01
-6.1594713858e-05,1.2645623820e-04,3.2355733629e+01
-6.4175971809e-05,1.2619578251e-04,3.2381666216e+01
-6.6762004854e-05,1.2592866807e-04,3.2411629712e+01
-6.9352613333e-05,1.2565471529e-04,3.2438368584e+01
-7.1947629920e-05,1.2537374729e-04,3.2467753659e+01
-7.4546884414e-05,1.2508559028e-04,3.2498542236e+01
-7.7150205219e-05,1.2479007525e-04,3.2531529082e+01
-7.9757446198e-05,1.2448703996e-04,3.2561235445e+01
-8.2368382396e-05,1.2417634260e-04,3.2594372889e+01
-8.4982900979e-05,1.2385782369e-04,3.2631790778e+01
-8.7600816234e-05,1.2353134616e-04,3.2668385085e+01
-9.0221963524e-05,1.2319676567e-04,3.2706238403e+01
-9.2846180249e-05,1.2285394637e-04,3.2744483042e+01
-9.5473301623e-05,1.2250275947e-04,3.2783944801e+01
-9.8103155272e-05,1.2214308437e-04,3.2826861202e+01
-1.0073561252e-04,1.2177479217e-04,3.2868703978e+01
-1.0337046362e-04,1.2139776891e-04,3.2913204783e+01
-1.0600760368e-04,1.2101189108e-04,3.2957377273e+01
-1.0864682236e-04,1.2061705792e-04,3.3002051879e+01
-1.1128799899e-04,1.2021314858e-04,3.3049492593e+01
-1.1393096594e-04,1.1980006342e-04,3.3096983384e+01
-1.1657556103e-04,1.1937770025e-04,3.3145492941e+01
-1.1922163612e-04,1.1894594150e-04,3.3196744859e+01
-1.2186903155e-04,1.1850470176e-04,3.3248088242e+01
-1.2451760377e-04,1.1805388344e-04,3.3300207312e+01
-1.2716719576e-04,1.1759338628e-04,3.3354260689e+01
-1.2981765377e-04,1.1712312305e-04,3.3408825131e+01
-1.3246881420e-04,1.1664299571e-04,3.3465368487e+01
-1.3512056569e-04,1.1615290559e-04,3.3522089018e+01
-1.3777271257e-04,1.1565278368e-04,3.3579577115e+01
-1.4042514020e-04,1.1514253651e-04,3.3638621079e+01
-1.4307767725e-04,1.1462207806e-04,3.3699262448e+01
-1.4573019092e-04,1.1409131504e-04,3.3760403385e+01
-1.4838253208e-04,1.1355016741e-04,3.3822316961e+01
-1.5103452442e-04,1.1299855945e-04,3.3886602520e+01
-1.5368607208e-04,1.1243640254e-04,3.3952265515e+01
-1.5633700720e-04,1.1186362466e-04,3.4017821404e+01
-1.5898715762e-04,1.1128014557e-04,3.4084231876e+01
-1.6163641276e-04,1.1068587389e-04,3.4152481755e+01
-1.6428460807e-04,1.1008074697e-04,3.4221683914e+01
-1.6693159936e-04,1.0946468552e-04,3.4292712862e+01
-1.6957724870e-04,1.0883761270e-04,3.4363889667e+01
-1.7222140312e-04,1.0819944779e-04,3.4436259023e+01
-1.7486392157e-04,1.0755011776e-04,3.4510308550e+01
-1.7750463519e-04,1.0688956793e-04,3.4585100904e+01
-1.8014344248e-04,1.0621770328e-04,3.4661641046e+01
-1.8278017112e-04,1.0553445951e-04,3.4739084990e+01
-1.8541468869e-04,1.0483975884e-04,3.4817403416e+01
-1.8804687253e-04,1.0413352725e-04,3.4896521505e+01
-1.9067656543e-04,1.0341571801e-04,3.4976041231e+01
-1.9330362316e-04,1.0268626301e-04,3.5055580310e+01
-1.9592788223e-04,1.0194509801e-04,3.5136428299e+01
-1.9854915355e-04,1.0119217434e-04,3.5217567180e+01
-2.0116734521e-04,1.0042741371e-04,3.5299595970e+01
-2.0378226947e-04,9.9650785549e-05,3.5382190187e+01
-2.0639377452e-04,9.8862231420e-05,3.5464315994e+01
-2.0900171781e-04,9.8061694546e-05,3.5546962486e+01
-2.1160589853e-04,9.7249136276e-05,3.5628931225e+01
-2.1420623131e-04,9.6424517252e-05,3.5710771631e+01
-2.1680246349e-04,9.5587828590e-05,3.5790830713e+01
-2.1939447961e-04,9.4739018320e-05,3.5870149510e+01
-2.2198207825e-04,9.3878078246e-05,3.5947445673e+01
-2.2456505793e-04,9.3005009051e-05,3.6021996620e+01
-2.2714323156e-04,9.2119827908e-05,3.6092221902e+01
-2.2971635797e-04,9.1222537122e-05,3.6157544935e+01
-2.3228418575e-04,9.0313169387e-05,3.6212542855e+01
-2.3484637588e-04,8.9391753520e-05,3.6261122825e+01
