x_m y_m sigma_comp_mag_Pa
3.9657922653e-04 5.9209482093e-06 1.0025243056e+01
3.9432043646e-04 1.1254007762e-05 9.7638571804e+00
3.9227122709e-04 1.6349783460e-05 1.0179210998e+01
3.9025746648e-04 2.1272968936e-05 1.0500857366e+01
3.8822276290e-04 2.6058566179e-05 1.0731729486e+01
3.8613936235e-04 3.0724975554e-05 1.0914373433e+01
3.8399241711e-04 3.5284303872e-05 1.1076705060e+01
3.8177472449e-04 3.9741865499e-05 1.1214678583e+01
3.7948153863e-04 4.4103396871e-05 1.1327178649e+01
3.7711102876e-04 4.8371942174e-05 1.1425275376e+01
3.7466256619e-04 5.2550033609e-05 1.1508981017e+01
3.7213655966e-04 5.6639531523e-05 1.1580624256e+01
3.6953392585e-04 6.0641942893e-05 1.1641590476e+01
3.6685587766e-04 6.4558611136e-05 1.1693970292e+01
3.6410388623e-04 6.8390739126e-05 1.1739627512e+01
3.6127964057e-04 7.2139492389e-05 1.1779704935e+01
3.5838492616e-04 7.5805848508e-05 1.1815770244e+01
3.5542153840e-04 7.9390749918e-05 1.1848888412e+01
3.5239139699e-04 8.2895170309e-05 1.1879867577e+01
3.4929643940e-04 8.6320027982e-05 1.1909297239e+01
3.4613856315e-04 8.9666173123e-05 1.1937701749e+01
3.4291962679e-04 9.2934524203e-05 1.1965302461e+01
3.3964163038e-04 9.6125842416e-05 1.1993486668e+01
3.3630637579e-04 9.9241029789e-05 1.2021244522e+01
3.3291568245e-04 1.0228088101e-04 1.2049479657e+01
3.2947140508e-04 1.0524615257e-04 1.2078461370e+01
3.2597528577e-04 1.0813765611e-04 1.2107976793e+01
3.2242904120e-04 1.1095614109e-04 1.2138564632e+01
3.1883433823e-04 1.1370237051e-04 1.2169301264e+01
3.1519280849e-04 1.1637704735e-04 1.2201557464e+01
3.1150603790e-04 1.1898087597e-04 1.2235144869e+01
3.0777557606e-04 1.2151458429e-04 1.2269216504e+01
3.0400286784e-04 1.2397885812e-04 1.2304000366e+01
3.0018931010e-04 1.2637429698e-04 1.2340152194e+01
2.9633630964e-04 1.2870156560e-04 1.2377458264e+01
2.9244520596e-04 1.3096130210e-04 1.2414366787e+01
2.8851723159e-04 1.3315404117e-04 1.2452559645e+01
2.8455361835e-04 1.3528033815e-04 1.2491034885e+01
2.8055549846e-04 1.3734069879e-04 1.2530238256e+01
2.7652399746e-04 1.3933559841e-04 1.2570439167e+01
2.7246017353e-04 1.4126552093e-04 1.2610761034e+01
2.6836505046e-04 1.4313084226e-04 1.2649712056e+01
2.6423954000e-04 1.4493186335e-04 1.2690825581e+01
2.6008456406e-04 1.4666895385e-04 1.2732679734e+01
2.5590099379e-04 1.4834239601e-04 1.2772618998e+01
2.5168964579e-04 1.4995229360e-04 1.2812906305e+01
2.4745121536e-04 1.5149882931e-04 1.2854430747e+01
2.4318649554e-04 1.5298210631e-04 1.2893932969e+01
2.3889610413e-04 1.5440209500e-04 1.2933310106e+01
2.3458065851e-04 1.5575865048e-04 1.2973192210e+01
2.3024072901e-04 1.5705163184e-04 1.3012582710e+01
2.2587688280e-04 1.5828077003e-04 1.3049730046e+01
2.2148956375e-04 1.5944566234e-04 1.3087062993e+01
2.1707924326e-04 1.6054577184e-04 1.3123049819e+01
2.1264628372e-04 1.6158040650e-04 1.3158199246e+01
2.0819104659e-04 1.6254872236e-04 1.3193214036e+01
2.0371389562e-04 1.6344974941e-04 1.3224655869e+01
1.9921501815e-04 1.6428224574e-04 1.3257138579e+01
1.9469478447e-04 1.6504467351e-04 1.3285901798e+01
1.9015329153e-04 1.6573522212e-04 1.3312904499e+01
1.8559073976e-04 1.6635171988e-04 1.3337278684e+01
1.8100720361e-04 1.6689147786e-04 1.3360025261e+01
1.7640283240e-04 1.6735127899e-04 1.3380580591e+01
1.7177773886e-04 1.6772718330e-04 1.3394371836e+01
1.6713169534e-04 1.6801409206e-04 1.3408358901e+01
1.4356994961e-04 1.6774675685e-04 1.4397526636e+01
1.3888777275e-04 1.6711033230e-04 1.7823495355e+01
1.3457398462e-04 1.6630432126e-04 1.7954765399e+01
1.3048380351e-04 1.6549451683e-04 1.8100566591e+01
1.2657175712e-04 1.6471745786e-04 1.7557649586e+01
1.2273371426e-04 1.6399130227e-04 1.7308205373e+01
1.1892051138e-04 1.6329092519e-04 1.7733833554e+01
1.1512591272e-04 1.6259532061e-04 1.8003108355e+01
1.1134111675e-04 1.6189174101e-04 1.8081779136e+01
1.0755951418e-04 1.6116738807e-04 1.8128370529e+01
1.0378042719e-04 1.6041149164e-04 1.8114705152e+01
1.0000010917e-04 1.5961180389e-04 1.8109575551e+01
9.6219613640e-05 1.5875655956e-04 1.8058996216e+01
9.2439682515e-05 1.5783184873e-04 1.8009131086e+01
8.8663538123e-05 1.5682140798e-04 1.7952010141e+01
8.4896832566e-05 1.5570565002e-04 1.7891375790e+01
8.1149485651e-05 1.5445943682e-04 1.7832070589e+01
7.7438016478e-05 1.5304892019e-04 1.7708761413e+01
7.3791550866e-05 1.5142565834e-04 1.7829660678e+01
7.0263847043e-05 1.4950153101e-04 1.8122175054e+01
6.7065202486e-05 1.4709677554e-04 1.7081671095e+01
6.5193792751e-05 1.4426926794e-04 3.5513413434e+01
6.4021897236e-05 1.4273023827e-04 1.2881487802e+02
6.2341845509e-05 1.4165099896e-04 1.0208647695e+02
6.0477862484e-05 1.4074053590e-04 9.5372735118e+01
5.8520871277e-05 1.3993820099e-04 9.0925459192e+01
5.6503888956e-05 1.3922261819e-04 8.7445022009e+01
5.4441986827e-05 1.3857888241e-04 8.4325792830e+01
5.2343039172e-05 1.3799481581e-04 8.1645384737e+01
5.0214078149e-05 1.3746176606e-04 7.9112345630e+01
4.8058327799e-05 1.3697238097e-04 7.6679647914e+01
4.5878878927e-05 1.3652052893e-04 7.4305790900e+01
4.3677819267e-05 1.3610139392e-04 7.2038892461e+01
4.1456980133e-05 1.3571126306e-04 6.9815292448e+01
3.9217563443e-05 1.3534660766e-04 6.7676439068e+01
3.6960598081e-05 1.3500445757e-04 6.5550773549e+01
3.4686802965e-05 1.3468215912e-04 6.3443294472e+01
3.2396712023e-05 1.3437738236e-04 6.1345528366e+01
3.0090680269e-05 1.3408801015e-04 5.9250770026e+01
2.7768812720e-05 1.3381198700e-04 5.7133184545e+01
2.5431066701e-05 1.3354730657e-04 5.4998701685e+01
2.3077103878e-05 1.3329192560e-04 5.2820542768e+01
2.0705951083e-05 1.3304300769e-04 5.0614956240e+01
1.8318626915e-05 1.3279586671e-04 4.9631305538e+01
1.5925355535e-05 1.3255598767e-04 5.0998762637e+01
1.3539345262e-05 1.3233539588e-04 5.2202069507e+01
1.1155458465e-05 1.3213193806e-04 5.1233301596e+01
8.7651157569e-06 1.3193783041e-04 4.9833512993e+01
6.3673581679e-06 1.3174997742e-04 4.8469386176e+01
3.9615497775e-06 1.3156676032e-04 4.7103947406e+01
1.5475248684e-06 1.3138708788e-04 4.5746347167e+01
-8.7478709341e-07 1.3121007705e-04 4.4427156251e+01
-3.3053743211e-06 1.3103495870e-04 4.3113559757e+01
-5.7441769691e-06 1.3086105841e-04 4.1817735998e+01
-8.1911601180e-06 1.3068775317e-04 4.0559660360e+01
-1.0646254765e-05 1.3051446171e-04 3.9300799733e+01
-1.3109231697e-05 1.3034071592e-04 3.8082018260e+01
-1.5579839262e-05 1.3016601741e-04 3.6915106306e+01
-1.8057866986e-05 1.2998993053e-04 3.5741624679e+01
