x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
4.0000000000e-04 0.0000000000e+00 7.5361894475e+01 -6.8809517241e+01 9.1258292598e+01 1.1866325668e+02 1.5182035672e+02 1.4799830350e+01 1.5182035672e+02 -1.0797635081e+00 1.0000000000e+00 7.4602175646e-02 -4.1562319207e-02 6.1952063995e-02 1.4080949606e+01 8.3043240306e-01 5.5711939829e-01
-4.0000000000e-04 3.0616169979e-20 5.3583677886e+02 3.2877388350e+02 2.3360156934e+02 6.2410785406e+02 7.4504801166e+02 2.4390336564e+01 7.4504801166e+02 -1.6080423386e+00 1.0000000000e+00 6.0113662896e-01 4.8800050736e-01 3.5102813490e-01 2.3510013042e+01 -5.8394068502e-01 8.1179632691e-01
3.9652700838e-04 5.9392038874e-06 -3.7302597171e+00 -2.7417842105e+01 6.2843373096e+01 7.1540443467e+01 7.0860450983e+01 -1.1747337604e+01 7.0860450983e+01 9.9564153160e+00 1.0000000000e+00 1.0393552473e-01 -4.8361884157e-02 9.1998486197e-02 1.4055776601e+01 8.8514958126e-01 4.6530658580e-01
3.9422012954e-04 1.1290080027e-05 -3.2108972061e+00 -1.7905016054e+01 4.1657825040e+01 4.9858486250e+01 4.8009274375e+01 -9.5623465409e+00 4.8009274375e+01 9.6963889494e+00 1.0000000000e+00 1.2160118860e-01 4.8491176233e-02 -1.1151437081e-01 1.3969697770e+01 9.1705000659e-01 3.9877222247e-01
3.9211624184e-04 1.6395928644e-05 -5.1854993078e+00 -1.4775873720e+01 3.3738150576e+01 4.2203399536e+01 3.8642469717e+01 -1.0089818449e+01 3.8642469717e+01 1.0112995632e+01 1.0000000000e+00 3.7210040854e-01 1.4963713071e-01 -3.4068672288e-01 1.3921506327e+01 9.1557739541e-01 4.0214180709e-01
3.9004149075e-04 2.1319745381e-05 -5.9639975063e+00 -1.3213328839e+01 2.8081241548e+01 3.7262709175e+01 3.2572257193e+01 -1.0455013152e+01 3.2572257193e+01 1.0444816400e+01 1.0000000000e+00 7.0024146739e-01 2.8664105285e-01 -6.3888576402e-01 1.3873664637e+01 9.1237922028e-01 4.0934601305e-01
3.8794118180e-04 2.6096032957e-05 -6.3542480179e+00 -1.2276013230e+01 2.3918108400e+01 3.3721355903e+01 2.8250964099e+01 -1.0687103717e+01 2.8250964099e+01 1.0689486156e+01 1.0000000000e+00 1.5485292394e+00 6.7155350623e-01 -1.3953346170e+00 1.3784443574e+01 9.0107088814e-01 4.3367182818e-01
3.8578951411e-04 3.0743295882e-05 -6.5926652782e+00 -1.1675248469e+01 2.0665639210e+01 3.1045436901e+01 2.4960578318e+01 -1.0887604386e+01 2.4960578318e+01 1.0887295067e+01 1.0000000000e+00 2.0525627506e+00 9.1976133824e-01 -1.8349531127e+00 1.3745050280e+01 8.9398149322e-01 4.4810388280e-01
3.8357335275e-04 3.5274201425e-05 -6.7481813395e+00 -1.1214601374e+01 1.7936314271e+01 2.8855262098e+01 2.2253659805e+01 -1.1065526874e+01 2.2253659805e+01 1.1065548923e+01 1.0000000000e+00 2.5988007722e+00 1.2041649562e+00 -2.3029876708e+00 1.3709727541e+01 8.8617322861e-01 4.6335408588e-01
3.8128699943e-04 3.9694783183e-05 -6.8400318262e+00 -1.0853698586e+01 1.5583825487e+01 2.7011239420e+01 1.9966843181e+01 -1.1223049520e+01 1.9966843181e+01 1.1223052459e+01 1.0000000000e+00 3.7908922418e+00 1.8770393573e+00 -3.2935675551e+00 1.3652624980e+01 8.6881065064e-01 4.9514447723e-01
