x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
4.0000000000e-04 0.0000000000e+00 7.2503077716e+01 -6.6720302912e+01 8.9420118110e+01 1.1522887690e+02 1.4748902101e+02 1.4434174815e+01 1.4748902101e+02 -1.0529923986e+00 1.0000000000e+00 7.1430443721e-02 -3.8023117938e-02 6.0469420309e-02 1.4064027535e+01 8.4654969448e-01 5.3230969818e-01
-4.0000000000e-04 3.0616169979e-20 5.1426446349e+02 3.1878694471e+02 2.2960629126e+02 6.0189989168e+02 7.1944244185e+02 2.4428312890e+01 7.1944244184e+02 -1.6192559146e+00 1.0000000000e+00 5.0733101018e-01 4.0791570880e-01 3.0164470559e-01 2.3654781351e+01 -5.9457178752e-01 8.0404252965e-01
3.9659767487e-04 5.9159324322e-06 -4.4962405986e+00 -2.6069640857e+01 6.0996887986e+01 6.9368802636e+01 6.8300420569e+01 -1.1799773182e+01 6.8300420569e+01 1.0050589936e+01 1.0000000000e+00 1.1814155168e-01 -5.1702283986e-02 1.0622758617e-01 1.4043697758e+01 8.9915516312e-01 4.3762997228e-01
3.9435122384e-04 1.1244116159e-05 -3.8169641959e+00 -1.6946636815e+01 4.0370861881e+01 4.8370489027e+01 4.6203663703e+01 -9.6497660180e+00 4.6203663703e+01 9.7809027735e+00 1.0000000000e+00 3.5194156644e-02 1.3053147148e-02 -3.2684002378e-02 1.3966275458e+01 9.2867695931e-01 3.7088961330e-01
3.9231172958e-04 1.6335625596e-05 -5.7153994039e+00 -1.3945477809e+01 3.2734250631e+01 4.1018834625e+01 3.7191660826e+01 -1.0172809599e+01 3.7191660826e+01 1.0195375517e+01 1.0000000000e+00 2.3645035872e-01 8.8188953830e-02 -2.1938887976e-01 1.3920860551e+01 9.2784329424e-01 3.7297026871e-01
3.9030601142e-04 2.1254882033e-05 -6.4430455364e+00 -1.2491976085e+01 2.7349337549e+01 3.6336609690e+01 3.1432097392e+01 -1.0525805380e+01 3.1432097392e+01 1.0515863428e+01 1.0000000000e+00 5.1357064729e-01 1.9481710075e-01 -4.7518533965e-01 1.3874903021e+01 9.2525797990e-01 3.7933846449e-01
3.8827817083e-04 2.6036667877e-05 -6.7857511187e+00 -1.1660243872e+01 2.3434281206e+01 3.3027006380e+01 2.7392416068e+01 -1.0743885980e+01 2.7392416068e+01 1.0746210957e+01 1.0000000000e+00 1.2656522379e+00 5.0930861692e-01 -1.1586545301e+00 1.3786856933e+01 9.1546042062e-01 4.0240802462e-01
3.8620077927e-04 3.0699250817e-05 -6.9732075464e+00 -1.1165271471e+01 2.0407263941e+01 3.0564059573e+01 2.4363196219e+01 -1.0929139824e+01 2.4363196219e+01 1.0928837850e+01 1.0000000000e+00 1.7243006100e+00 7.1818806024e-01 -1.5676155472e+00 1.3746607416e+01 9.0913123738e-01 4.1650977565e-01
3.8405923116e-04 3.5254656951e-05 -7.0727627359e+00 -1.0811430596e+01 1.7875442241e+01 2.8566170054e+01 2.1894025723e+01 -1.1091346218e+01 2.1894025723e+01 1.1091367812e+01 1.0000000000e+00 2.2262612385e+00 9.6088262446e-01 -2.0082190329e+00 1.3709836957e+01 9.0205902082e-01 4.3161270018e-01
3.8184650776e-04 3.9708172050e-05 -7.1007847363e+00 -1.0556650068e+01 1.5696198672e+01 2.6894358078e+01 1.9825171844e+01 -1.1229757908e+01 1.9825171844e+01 1.1229760759e+01 1.0000000000e+00 2.7676356351e+00 1.2381923311e+00 -2.4752144876e+00 1.3677244052e+01 8.9434261370e-01 4.4738271014e-01
3.7955801256e-04 4.4065519610e-05 -7.0851589441e+00 -1.0352928994e+01 1.3788240219e+01 2.5451370271e+01 1.8045896115e+01 -1.1342814840e+01 1.8045896115e+01 1.1342813155e+01 1.0000000000e+00 3.9438234084e+00 1.8930475557e+00 -3.4597852576e+00 1.3624702061e+01 8.7726677878e-01 4.8000312378e-01
3.7719203471e-04 4.8329752611e-05 -7.0430512420e+00 -1.0184152770e+01 1.2102938228e+01 2.4199081623e+01 1.6501289782e+01 -1.1441402796e+01 1.6501289782e+01 1.1441403140e+01 1.0000000000e+00 4.5724050582e+00 2.2704216143e+00 -3.9688882209e+00 1.3605925260e+01 8.6800888599e-01 4.9654866211e-01
3.7474803025e-04 5.2503428334e-05 -6.9787637235e+00 -1.0033291404e+01 1.0583469428e+01 2.3084683216e+01 1.5130300921e+01 -1.1525595217e+01 1.5130300921e+01 1.1525595179e+01 1.0000000000e+00 5.2187847581e+00 2.6777827963e+00 -4.4794188962e+00 1.3591479736e+01 8.5832604788e-01 5.1310466332e-01
3.7222647403e-04 5.6588433365e-05 -6.8958892995e+00 -9.8948407481e+00 9.2011166549e+00 2.2084174841e+01 1.3902917967e+01 -1.1597690612e+01 1.3902917967e+01 1.1597690611e+01 1.0000000000e+00 5.8774817342e+00 3.1126620967e+00 -4.9855918612e+00 1.3581230035e+01 8.4825305917e-01 5.2959111360e-01
3.6962832705e-04 6.0586304642e-05 -6.7971698707e+00 -9.7655318693e+00 7.9338708614e+00 2.1178672165e+01 1.2795862571e+01 -1.1659161580e+01 1.2795862571e+01 1.1659161582e+01 1.0000000000e+00 7.2287146717e+00 4.0637061667e+00 -5.9783449210e+00 1.3575936241e+01 8.2702737521e-01 5.6216164993e-01
3.6695483646e-04 6.4498417005e-05 -6.6859716044e+00 -9.6422174636e+00 6.7698751390e+00 2.0358532647e+01 1.1795956071e+01 -1.1712052537e+01 1.1795956071e+01 1.1712052536e+01 1.0000000000e+00 7.9112857159e+00 4.5739796473e+00 -6.4550098268e+00 1.3580070994e+01 8.1592424526e-01 5.7815882419e-01
3.6420749657e-04 6.8326002520e-05 -6.5634894026e+00 -9.5254748585e+00 5.6940629681e+00 1.9612852757e+01 1.0888772602e+01 -1.1758199036e+01 1.0888772602e+01 1.1758199036e+01 1.0000000000e+00 8.5949090035e+00 5.1045633557e+00 -6.9149037394e+00 1.3588675242e+01 8.0453483994e-01 5.9390545655e-01
3.6138801044e-04 7.2070252080e-05 -6.4335286649e+00 -9.4113910118e+00 4.6979188853e+00 1.8933101846e+01 1.0063226558e+01 -1.1798836337e+01 1.0063226558e+01 1.1798836337e+01 1.0000000000e+00 9.2753973258e+00 5.6522100074e+00 -7.3542856610e+00 1.3601009639e+01 7.9288093035e-01 6.0937659152e-01
3.5849817732e-04 7.5732167162e-05 -6.2952966782e+00 -9.3013852345e+00 3.7707113132e+00 1.8313390766e+01 9.3109484058e+00 -1.1835533771e+01 9.3109484058e+00 1.1835533771e+01 1.0000000000e+00 9.9547385958e+00 6.2173197858e+00 -7.7744295734e+00 1.3618757878e+01 7.8097777241e-01 6.2455881949e-01
3.5553980170e-04 7.9312727846e-05 -6.1500652604e+00 -9.1951506780e+00 2.9072892413e+00 1.7748997934e+01 8.6260007253e+00 -1.1868776744e+01 8.6260007253e+00 1.1868776744e+01 1.0000000000e+00 1.0626792527e+01 6.7950819999e+00 -8.1704088046e+00 1.3640114244e+01 7.6884994071e-01 6.3942925228e-01
3.5251478458e-04 8.2812923277e-05 -5.9992523557e+00 -9.0916843645e+00 2.1009298140e+00 1.7235057685e+01 8.0015039232e+00 -1.1899826465e+01 8.0015039232e+00 1.1899826465e+01 1.0000000000e+00 1.1948233352e+01 7.9832428644e+00 -8.8897757902e+00 1.3693129511e+01 7.4402428613e-01 6.6815257363e-01
3.4942504898e-04 8.6233677999e-05 -5.8429596555e+00 -8.9907569563e+00 1.3444305719e+00 1.6766826644e+01 7.4310673344e+00 -1.1929596418e+01 7.4310673344e+00 1.1929596418e+01 1.0000000000e+00 1.2594035318e+01 8.5890442985e+00 -9.2107569526e+00 1.3725958033e+01 7.3135867256e-01 6.8199302935e-01
3.4627249411e-04 8.9575853515e-05 -5.6814823134e+00 -8.8934361804e+00 6.3573578654e-01 1.6342178140e+01 6.9122876846e+00 -1.1958034211e+01 6.9122876846e+00 1.1958034211e+01 1.0000000000e+00 1.3226237926e+01 9.1984758082e+00 -9.5037578089e+00 1.3761257468e+01 7.1855336807e-01 6.9547182346e-01
3.4305896613e-04 9.2840350468e-05 -5.5172368087e+00 -8.7960627425e+00 -3.1643244072e-02 1.5955290366e+01 6.4373511612e+00 -1.1986231214e+01 6.4373511612e+00 1.1986231214e+01 1.0000000000e+00 1.3845859777e+01 9.8109379676e+00 -9.7700219633e+00 1.3798634206e+01 7.0562768370e-01 7.0858279121e-01
