x_m,y_m,sigma_comp_mag_Pa
3.9434012774e-04,1.1250587032e-05,9.7664604544e+00
3.9228666175e-04,1.6342874418e-05,1.0179849206e+01
3.9026192201e-04,2.1259099599e-05,1.0503077417e+01
3.8821128991e-04,2.6033473628e-05,1.0738714216e+01
3.8610859455e-04,3.0684089777e-05,1.0927969428e+01
3.8394031232e-04,3.5223085311e-05,1.1097781357e+01
3.8170035677e-04,3.9656013972e-05,1.1245474812e+01
3.7938490538e-04,4.3988967972e-05,1.1366964629e+01
3.7699280766e-04,4.8225450049e-05,1.1474217316e+01
3.7452395435e-04,5.2368464471e-05,1.1566438893e+01
3.7197908232e-04,5.6420351918e-05,1.1646576701e+01
3.6935934740e-04,6.0383046095e-05,1.1715613601e+01
3.6666609163e-04,6.4258288433e-05,1.1775326411e+01
3.6390082879e-04,6.8047623729e-05,1.1827530455e+01
3.6106522023e-04,7.1752502755e-05,1.1873783758e+01
3.5816100799e-04,7.5374117399e-05,1.1916016143e+01
3.5518992344e-04,7.8913640915e-05,1.1953824203e+01
3.5215374506e-04,8.2372212053e-05,1.1988361566e+01
3.4905425750e-04,8.5750812935e-05,1.2021771232e+01
3.4589325447e-04,8.9050361204e-05,1.2053340067e+01
3.4267244806e-04,9.2271803855e-05,1.2083458807e+01
3.3939371025e-04,9.5415867719e-05,1.2114043464e+01
3.3605870103e-04,9.8483460666e-05,1.2143042016e+01
3.3266907126e-04,1.0147530317e-04,1.2172333502e+01
3.2922653914e-04,1.0439205024e-04,1.2202496358e+01
3.2573272119e-04,1.0723443163e-04,1.2232115760e+01
3.2218916976e-04,1.1000304466e-04,1.2262994312e+01
3.1859741871e-04,1.1269850091e-04,1.2294469034e+01
3.1495899242e-04,1.1532136917e-04,1.2326199012e+01
3.1127530007e-04,1.1787216633e-04,1.2358660209e+01
3.0754773505e-04,1.2035135804e-04,1.2392038124e+01
3.0377759961e-04,1.2275936663e-04,1.2427296726e+01
2.9996616952e-04,1.2509656945e-04,1.2461953376e+01
2.9611465989e-04,1.2736329644e-04,1.2497807090e+01
2.9222422179e-04,1.2955981045e-04,1.2533892128e+01
2.8829589862e-04,1.3168626630e-04,1.2570381952e+01
2.8433071084e-04,1.3374273391e-04,1.2608439882e+01
2.8032959649e-04,1.3572922918e-04,1.2646720430e+01
2.7629344073e-04,1.3764562433e-04,1.2683983131e+01
2.7222293269e-04,1.3949163666e-04,1.2723030417e+01
2.6811882859e-04,1.4126680249e-04,1.2760884393e+01
2.6398170612e-04,1.4297049861e-04,1.2797522284e+01
2.5981190254e-04,1.4460181043e-04,1.2836912881e+01
2.5560963710e-04,1.4615947730e-04,1.2875373758e+01
2.5137531919e-04,1.4764175847e-04,1.2908810253e+01
2.4710842540e-04,1.4904649212e-04,1.2946011348e+01
2.4280860592e-04,1.5037055376e-04,1.2975176760e+01
2.3847465727e-04,1.5160953986e-04,1.3010365486e+01
2.3410409209e-04,1.5275688760e-04,1.3029352281e+01
2.2969153975e-04,1.5380098381e-04,1.2901731590e+01
2.2522416544e-04,1.5470877863e-04,1.4612348725e+01
2.1644276212e-04,1.5594524328e-04,1.7390058719e+01
2.1224806119e-04,1.5636518418e-04,1.7819799790e+01
2.0421203958e-04,1.5704442796e-04,1.7776918090e+01
1.9650703564e-04,1.5765136750e-04,1.7279023301e+01
1.9273337616e-04,1.5795284574e-04,1.7289624692e+01
1.8528712163e-04,1.5855826080e-04,1.8237393212e+01
1.7792365271e-04,1.5917090256e-04,1.8405337096e+01
1.7425570853e-04,1.5948128397e-04,1.8414306176e+01
1.6691051968e-04,1.6009810847e-04,1.8313027657e+01
1.5953522527e-04,1.6067672407e-04,1.8232935633e+01
7.6601174731e-05,1.5969721240e-04,1.8394517013e+01
6.8975366645e-05,1.5851245565e-04,1.8498297468e+01
6.5171352197e-05,1.5781204938e-04,1.8553802259e+01
5.7596510558e-05,1.5615967754e-04,1.8684378780e+01
5.3835251036e-05,1.5518803900e-04,1.8773201901e+01
4.6410257323e-05,1.5288693828e-04,1.9011128573e+01
4.2773198850e-05,1.5152005175e-04,1.9213975966e+01
3.9217234388e-05,1.4996695486e-04,1.9507823550e+01
