x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa,is_surface,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
4.0000000000e-04,0.0000000000e+00,7.3244965193e+01,-6.7267297359e+01,8.9856173827e+01,1.1612467168e+02,1.4859517996e+02,1.4505959056e+01,1.4859517996e+02,-1.0576991292e+00,1.0000000000e+00,7.1704994317e-02,-3.8295183050e-02,6.0622480691e-02,1.4064925100e+01,8.4544293280e-01,5.3406577065e-01
-4.0000000000e-04,3.0616169979e-20,5.1160167955e+02,3.1753155028e+02,2.2907682738e+02,5.9914271760e+02,7.1625446275e+02,2.4424044178e+01,7.1625446274e+02,-1.6197121569e+00,1.0000000000e+00,5.0311157859e-01,4.0425157446e-01,2.9950279641e-01,2.3665659249e+01,-5.9530094149e-01,8.0350282455e-01
3.9657922653e-04,5.9209482093e-06,-4.3175937146e+00,-2.6378482603e+01,6.1394803640e+01,6.9839101369e+01,6.8860228938e+01,-1.1783019013e+01,6.8860228938e+01,1.0025243056e+01,1.0000000000e+00,1.1784144692e-01,-5.1773207621e-02,1.0585906473e-01,1.4044448881e+01,8.9831776081e-01,4.3934633334e-01
3.9432043646e-04,1.1254007762e-05,-3.7068749140e+00,-1.7124288674e+01,4.0638237995e+01,4.8666597771e+01,4.6563354864e+01,-9.6319917829e+00,4.6563354864e+01,9.7638571804e+00,1.0000000000e+00,3.5848564283e-02,1.3339660321e-02,-3.3274209587e-02,1.3967074724e+01,9.2818806702e-01,3.7211142450e-01
3.9227122709e-04,1.6349783460e-05,-5.6319511819e+00,-1.4083320790e+01,3.2961503447e+01,4.1259706608e+01,3.7486078849e+01,-1.0156526584e+01,3.7486078849e+01,1.0179210998e+01,1.0000000000e+00,2.3764299350e-01,8.8872203242e-02,-2.2039946427e-01,1.3921792573e+01,9.2743935356e-01,3.7397358926e-01
3.9025746648e-04,2.1272968936e-05,-6.3722364900e+00,-1.2607511757e+01,2.7550803077e+01,3.6546503985e+01,3.1689417207e+01,-1.0510850621e+01,3.1689417207e+01,1.0500857366e+01,1.0000000000e+00,5.1499423576e-01,1.9576985403e-01,-4.7633310521e-01,1.3875858183e+01,9.2492900335e-01,3.8013989368e-01
3.8822276290e-04,2.6058566179e-05,-6.7206822542e+00,-1.1763627720e+01,2.3620752677e+01,3.3219738610e+01,2.7629460240e+01,-1.0729389818e+01,2.7629460240e+01,1.0731729486e+01,1.0000000000e+00,1.2666417448e+00,5.1029555114e-01,-1.1593014104e+00,1.3787892655e+01,9.1525596338e-01,4.0287283539e-01
3.8613936235e-04,3.0724975554e-05,-6.9101397356e+00,-1.1262497517e+01,2.0585221461e+01,3.0747744366e+01,2.4589759349e+01,-1.0914677624e+01,2.4589759349e+01,1.0914373433e+01,1.0000000000e+00,1.7219911764e+00,7.1779276240e-01,-1.5652562608e+00,1.3747350187e+01,9.0898041884e-01,4.1683881558e-01
3.8399241711e-04,3.5284303872e-05,-7.0095056042e+00,-1.0905890691e+01,1.8048133640e+01,2.8745110196e+01,2.2115311127e+01,-1.1076683092e+01,2.2115311127e+01,1.1076705060e+01,1.0000000000e+00,2.2224090972e+00,9.5969196900e-01,-2.0045182763e+00,1.3710921430e+01,9.0195737536e-01,4.3182507226e-01
3.8177472449e-04,3.9741865499e-05,-7.0356764851e+00,-1.0650565195e+01,1.5865448049e+01,2.7071194710e+01,2.0044447335e+01,-1.1214675771e+01,2.0044447335e+01,1.1214678583e+01,1.0000000000e+00,2.7632734580e+00,1.2365558629e+00,-2.4711555600e+00,1.3678639508e+01,8.9428556296e-01,4.4749673952e-01
3.7948153863e-04,4.4103396871e-05,-7.0170025680e+00,-1.0447739196e+01,1.3955135348e+01,2.5627851098e+01,1.8265313120e+01,-1.1327180340e+01,1.8265313120e+01,1.1327178649e+01,1.0000000000e+00,3.9426614322e+00,1.8923515389e+00,-3.4588415434e+00,1.3626246622e+01,8.7728596606e-01,4.7996805494e-01
3.7711102876e-04,4.8371942174e-05,-6.9711262300e+00,-1.0280755445e+01,1.2267922876e+01,2.4376317295e+01,1.6722071675e+01,-1.1425275029e+01,1.6722071675e+01,1.1425275376e+01,1.0000000000e+00,4.5694151043e+00,2.2685263219e+00,-3.9665277916e+00,1.3607003528e+01,8.6806028805e-01,4.9645879619e-01
3.7466256619e-04,5.2550033609e-05,-6.9025525388e+00,-1.0132067371e+01,1.0746423252e+01,2.3263029619e+01,1.5352851769e+01,-1.1508981056e+01,1.5352851769e+01,1.1508981017e+01,1.0000000000e+00,5.2146364926e+00,2.6749580267e+00,-4.4762744895e+00,1.3592364384e+01,8.5840585358e-01,5.1297114007e-01
3.7213655966e-04,5.6639531523e-05,-6.8150351280e+00,-9.9959619025e+00,9.3618265285e+00,2.2263815645e+01,1.4127415656e+01,-1.1580624256e+01,1.4127415656e+01,1.1580624256e+01,1.0000000000e+00,5.8748383225e+00,3.1102730244e+00,-4.9839669972e+00,1.3582645743e+01,8.4835815449e-01,5.2942274385e-01
3.6953392585e-04,6.0641942893e-05,-6.7113894493e+00,-9.8689132470e+00,8.0920361084e+00,2.1359501263e+01,1.3022237134e+01,-1.1641590475e+01,1.3022237134e+01,1.1641590476e+01,1.0000000000e+00,7.2237651763e+00,4.0593463580e+00,-5.9753234614e+00,1.3577053660e+01,8.2717576161e-01,5.6194328843e-01
