x_m y_m von_mises_Pa wss_mag_dyn_cm2
4.0000000000e-04 0.0000000000e+00 1.1612467168e+02 7.1704994317e-02
-4.0000000000e-04 3.0616169979e-20 5.9914271760e+02 5.0311157859e-01
3.9657922653e-04 5.9209482093e-06 6.9839101369e+01 1.1784144692e-01
3.9432043646e-04 1.1254007762e-05 4.8666597771e+01 3.5848564283e-02
3.9227122709e-04 1.6349783460e-05 4.1259706608e+01 2.3764299350e-01
3.9025746648e-04 2.1272968936e-05 3.6546503985e+01 5.1499423576e-01
3.8822276290e-04 2.6058566179e-05 3.3219738610e+01 1.2666417448e+00
3.8613936235e-04 3.0724975554e-05 3.0747744366e+01 1.7219911764e+00
3.8399241711e-04 3.5284303872e-05 2.8745110196e+01 2.2224090972e+00
3.8177472449e-04 3.9741865499e-05 2.7071194710e+01 2.7632734580e+00
3.7948153863e-04 4.4103396871e-05 2.5627851098e+01 3.9426614322e+00
3.7711102876e-04 4.8371942174e-05 2.4376317295e+01 4.5694151043e+00
3.7466256619e-04 5.2550033609e-05 2.3263029619e+01 5.2146364926e+00
3.7213655966e-04 5.6639531523e-05 2.2263815645e+01 5.8748383225e+00
3.6953392585e-04 6.0641942893e-05 2.1359501263e+01 7.2237651763e+00
3.6685587766e-04 6.4558611136e-05 2.0540373893e+01 7.9056938314e+00
3.6410388623e-04 6.8390739126e-05 1.9795521127e+01 8.5891476172e+00
3.6127964057e-04 7.2139492389e-05 1.9116444995e+01 9.2699435710e+00
3.5838492616e-04 7.5805848508e-05 1.8497066045e+01 9.9441723264e+00
3.5542153840e-04 7.9390749918e-05 1.7932687989e+01 1.0620143045e+01
3.5239139699e-04 8.2895170309e-05 1.7418390714e+01 1.1939813464e+01
3.4929643940e-04 8.6320027982e-05 1.6949375249e+01 1.2585917719e+01
3.4613856315e-04 8.9666173123e-05 1.6524335594e+01 1.3218626991e+01
3.4291962679e-04 9.2934524203e-05 1.6136922159e+01 1.3835970062e+01
3.3964163038e-04 9.6125842416e-05 1.5786294135e+01 1.4443138714e+01
3.3630637579e-04 9.9241029789e-05 1.5470715521e+01 1.5034375187e+01
3.3291568245e-04 1.0228088101e-04 1.5185426762e+01 1.6172769933e+01
3.2947140508e-04 1.0524615257e-04 1.4929589436e+01 1.6718009577e+01
3.2597528577e-04 1.0813765611e-04 1.4701212318e+01 1.7248522854e+01
3.2242904120e-04 1.1095614109e-04 1.4499568810e+01 1.7765584653e+01
3.1883433823e-04 1.1370237051e-04 1.4321783406e+01 1.8264699161e+01
