x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa,is_surface,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
3.8383284109e-04,3.5346002438e-05,-6.8588527746e+00,-1.1124789069e+01,1.8408615355e+01,2.9131618477e+01,2.2594029060e+01,-1.1044266480e+01,2.2594029060e+01,1.1044289081e+01,1.0000000000e+00,2.2308843868e+00,9.6659146989e-01,-2.0106083849e+00,1.3712663172e+01,9.0126068246e-01,4.3327725794e-01
3.7444778069e-04,5.2636567221e-05,-6.7387916253e+00,-1.0338061927e+01,1.1053091361e+01,2.3613835817e+01,1.5790604334e+01,-1.1476304598e+01,1.5790604334e+01,1.1476304558e+01,1.0000000000e+00,5.2229524297e+00,2.6835154519e+00,-4.4808455567e+00,1.3594313572e+01,8.5791429598e-01,5.1379281890e-01
3.7190866875e-04,5.6731801703e-05,-6.6453805681e+00,-1.0201989810e+01,9.6587862316e+00,2.2611047579e+01,1.4561197238e+01,-1.1547791574e+01,1.4561197238e+01,1.1547791574e+01,1.0000000000e+00,5.8827503811e+00,3.1188306712e+00,-4.9879502093e+00,1.3584543662e+01,8.4789424779e-01,5.3016539359e-01
3.6660201254e-04,6.4661755964e-05,-6.4121270016e+00,-9.9544190766e+00,7.2042681150e+00,2.0882545365e+01,1.2452613745e+01,-1.1660472631e+01,1.2452613745e+01,1.1660472631e+01,1.0000000000e+00,7.9121743549e+00,4.5770741906e+00,-6.4539053972e+00,1.3583208793e+01,8.1569302037e-01,5.7848500113e-01
3.6099980506e-04,7.2252574172e-05,-6.1352848499e+00,-9.7273233256e+00,5.1083428644e+00,1.9454591839e+01,1.0718642843e+01,-1.1745584828e+01,1.0718642843e+01,1.1745584828e+01,1.0000000000e+00,9.2764727685e+00,5.6549353358e+00,-7.3535469927e+00,1.3604705084e+01,7.9270938170e-01,6.0959973439e-01
3.5511557324e-04,7.9512628367e-05,-5.8277463108e+00,-9.5124224515e+00,3.2917248528e+00,1.8266811397e+01,9.2783377482e+00,-1.1814359206e+01,9.2783377482e+00,1.1814359206e+01,1.0000000000e+00,1.0627394619e+01,6.7970846248e+00,-8.1695261177e+00,1.3643284675e+01,7.6872332408e-01,6.3958146550e-01
3.5207228277e-04,8.3020999763e-05,-5.6647222383e+00,-9.4088420426e+00,2.4722108402e+00,1.7750896063e+01,8.6522289211e+00,-1.1844740319e+01,8.6522289211e+00,1.1844740319e+01,1.0000000000e+00,1.1946615336e+01,7.9833965802e+00,-8.8874629128e+00,1.3697046406e+01,7.4393145363e-01,6.6825593323e-01
3.4896409021e-04,8.6449494599e-05,-5.4962756519e+00,-9.3073628727e+00,1.7025210202e+00,1.7280804475e+01,8.0801997995e+00,-1.1873954431e+01,8.0801997995e+00,1.1873954431e+01,1.0000000000e+00,1.2590993614e+01,8.5880106344e+00,-9.2075617575e+00,1.3729625794e+01,7.3128158429e-01,6.8207568823e-01
3.4579289808e-04,8.9798962251e-05,-5.3228466067e+00,-9.2090829348e+00,9.8094783083e-01,1.6854605608e+01,7.5600616971e+00,-1.1901960473e+01,7.5600616971e+00,1.1901960473e+01,1.0000000000e+00,1.3222260117e+01,9.1965858174e+00,-9.5000511530e+00,1.3765012868e+01,7.1848920448e-01,6.9553811042e-01
3.4256056264e-04,9.3070301672e-05,-5.1464087388e+00,-9.1101710081e+00,3.0111877893e-01,1.6466011072e+01,7.0840109447e+00,-1.1929300905e+01,7.0840109447e+00,1.1929300905e+01,1.0000000000e+00,1.3841301986e+01,9.8084315545e+00,-9.7660796177e+00,1.3804658715e+01,7.0557521451e-01,7.0863503770e-01
3.3926908425e-04,9.6264271345e-05,-4.9654274413e+00,-9.0138349322e+00,-3.4191974667e-01,1.6114529607e+01,6.6500544122e+00,-1.1957401600e+01,6.6500544122e+00,1.1957401600e+01,1.0000000000e+00,1.4446092489e+01,1.0420840825e+01,-1.0004782092e+01,1.3845550709e+01,6.9255974232e-01,7.2136052243e-01
3.3592027107e-04,9.9381780916e-05,-4.7807311923e+00,-8.9194042173e+00,-9.4671122789e-01,1.5798275139e+01,6.2574171941e+00,-1.1984859614e+01,6.2574171941e+00,1.1984859614e+01,1.0000000000e+00,1.5037605574e+01,1.1033314922e+01,-1.0217413725e+01,1.3890424342e+01,6.7945748906e-01,7.3371487688e-01
3.3251593910e-04,1.0242362065e-04,-4.5935695409e+00,-8.8249496723e+00,-1.5198834346e+00,1.5512419196e+01,5.8993729110e+00,-1.2012825886e+01,5.8993729110e+00,1.2012825886e+01,1.0000000000e+00,1.6172514413e+01,1.2247738546e+01,-1.0561397775e+01,1.3987553282e+01,6.5304611921e-01,7.5731814067e-01
3.2905794660e-04,1.0539054017e-04,-4.4032292263e+00,-8.7313955401e+00,-2.0638631992e+00,1.5256034805e+01,5.5745295886e+00,-1.2041622014e+01,5.5745295886e+00,1.2041622014e+01,1.0000000000e+00,1.6719397518e+01,1.2849946188e+01,-1.0696594615e+01,1.4040114721e+01,6.3977153502e-01,7.6856514557e-01
3.2198793988e-04,1.1110279793e-04,-4.0138995036e+00,-8.5475777278e+00,-3.0704831989e+00,1.4825387703e+01,5.0172502298e+00,-1.2101632932e+01,5.0172502298e+00,1.2101632932e+01,1.0000000000e+00,1.7762890144e+01,1.4032225115e+01,-1.0891139729e+01,1.4150913486e+01,6.1314007126e-01,7.8997421035e-01
3.1102304630e-04,1.1912844712e-04,-3.4102670334e+00,-8.2752395526e+00,-4.4062866505e+00,1.4357740588e+01,4.3811685516e+00,-1.2197722236e+01,4.3811685516e+00,1.2197722236e+01,1.0000000000e+00,1.9213846067e+01,1.5744488724e+01,-1.1012854103e+01,1.4331190725e+01,5.7317280801e-01,8.1943451975e-01
2.9966400192e-04,1.2651982299e-04,-2.7826412027e+00,-8.0077082052e+00,-5.5686904792e+00,1.4076881697e+01,3.9516255962e+00,-1.2302957278e+01,3.9516255962e+00,1.2302957278e+01,1.0000000000e+00,2.0945704607e+01,1.7888966012e+01,-1.0895294238e+01,1.4592884055e+01,5.2016842796e-01,8.5406370169e-01
2.8794945006e-04,1.3329462730e-04,-2.1294302759e+00,-7.7396652012e+00,-6.5921609545e+00,1.3950375617e+01,3.6934575026e+00,-1.2415048733e+01,3.6934575026e+00,1.2415048733e+01,1.0000000000e+00,2.2109353560e+01,1.9385745998e+01,-1.0630915622e+01,1.4802164717e+01,4.8083339899e-01,8.7681197666e-01
2.7591388290e-04,1.3946844459e-04,-1.4451394741e+00,-7.4705305229e+00,-7.5007982385e+00,1.3960758314e+01,3.5872787142e+00,-1.2533216427e+01,3.5872787142e+00,1.2533216427e+01,1.0000000000e+00,2.3496676830e+01,2.1223972932e+01,-1.0081507577e+01,1.5094935835e+01,4.2906099659e-01,9.0327551788e-01
2.6358769781e-04,1.4505437034e-04,-7.2241581071e-01,-7.1965480802e+00,-8.3147074356e+00,1.4091798375e+01,3.6173419623e+00,-1.2654465209e+01,3.6173419622e+00,1.2654465209e+01,1.0000000000e+00,2.4438316562e+01,2.2495586139e+01,-9.5488177622e+00,1.5323769252e+01,3.9073140484e-01,9.2050473615e-01
