x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa is_surface wss_mag_dyn_cm2 wss_x_dyn_cm2 wss_y_dyn_cm2 pressure_Pa normal_x normal_y
3.9422012954e-04 1.1290080027e-05 -3.2108972061e+00 -1.7905016054e+01 4.1657825040e+01 4.9858486250e+01 4.8009274375e+01 -9.5623465409e+00 4.8009274375e+01 9.6963889494e+00 1.0000000000e+00 1.2160118860e-01 4.8491176233e-02 -1.1151437081e-01 1.3969697770e+01 9.1705000659e-01 3.9877222247e-01
3.9211624184e-04 1.6395928644e-05 -5.1854993078e+00 -1.4775873720e+01 3.3738150576e+01 4.2203399536e+01 3.8642469717e+01 -1.0089818449e+01 3.8642469717e+01 1.0112995632e+01 1.0000000000e+00 3.7210040854e-01 1.4963713071e-01 -3.4068672288e-01 1.3921506327e+01 9.1557739541e-01 4.0214180709e-01
3.9004149075e-04 2.1319745381e-05 -5.9639975063e+00 -1.3213328839e+01 2.8081241548e+01 3.7262709175e+01 3.2572257193e+01 -1.0455013152e+01 3.2572257193e+01 1.0444816400e+01 1.0000000000e+00 7.0024146739e-01 2.8664105285e-01 -6.3888576402e-01 1.3873664637e+01 9.1237922028e-01 4.0934601305e-01
3.8794118180e-04 2.6096032957e-05 -6.3542480179e+00 -1.2276013230e+01 2.3918108400e+01 3.3721355903e+01 2.8250964099e+01 -1.0687103717e+01 2.8250964099e+01 1.0689486156e+01 1.0000000000e+00 1.5485292394e+00 6.7155350623e-01 -1.3953346170e+00 1.3784443574e+01 9.0107088814e-01 4.3367182818e-01
3.8578951411e-04 3.0743295882e-05 -6.5926652782e+00 -1.1675248469e+01 2.0665639210e+01 3.1045436901e+01 2.4960578318e+01 -1.0887604386e+01 2.4960578318e+01 1.0887295067e+01 1.0000000000e+00 2.0525627506e+00 9.1976133824e-01 -1.8349531127e+00 1.3745050280e+01 8.9398149322e-01 4.4810388280e-01
3.8357335275e-04 3.5274201425e-05 -6.7481813395e+00 -1.1214601374e+01 1.7936314271e+01 2.8855262098e+01 2.2253659805e+01 -1.1065526874e+01 2.2253659805e+01 1.1065548923e+01 1.0000000000e+00 2.5988007722e+00 1.2041649562e+00 -2.3029876708e+00 1.3709727541e+01 8.8617322861e-01 4.6335408588e-01
3.8128699943e-04 3.9694783183e-05 -6.8400318262e+00 -1.0853698586e+01 1.5583825487e+01 2.7011239420e+01 1.9966843181e+01 -1.1223049520e+01 1.9966843181e+01 1.1223052459e+01 1.0000000000e+00 3.7908922418e+00 1.8770393573e+00 -3.2935675551e+00 1.3652624980e+01 8.6881065064e-01 4.9514447723e-01
3.7892693235e-04 4.4011646160e-05 -6.8903969499e+00 -1.0547520364e+01 1.3528596149e+01 2.5412931582e+01 1.7991262489e+01 -1.1353063290e+01 1.7991262489e+01 1.1353061565e+01 1.0000000000e+00 4.4284935764e+00 2.2643689339e+00 -3.8058098597e+00 1.3631297897e+01 8.5939152761e-01 5.1131810282e-01
3.7649217763e-04 4.8228791299e-05 -6.9177450168e+00 -1.0282382615e+01 1.1720303571e+01 2.4024225793e+01 1.6271672506e+01 -1.1469113951e+01 1.6271672506e+01 1.1469114303e+01 1.0000000000e+00 5.0848943342e+00 2.6824262713e+00 -4.3198078302e+00 1.3614646033e+01 8.4953738391e-01 5.2752841947e-01
3.7398277140e-04 5.2349648390e-05 -6.9233350829e+00 -1.0042093643e+01 1.0100716403e+01 2.2790594725e+01 1.4746846659e+01 -1.1569465339e+01 1.4746846659e+01 1.1569465301e+01 1.0000000000e+00 5.7576008971e+00 3.1303996040e+00 -4.8322423790e+00 1.3602996424e+01 8.3928053809e-01 5.4369860988e-01
